Lamas_name,Lamas_code,year,3 rooms apartments,average price (NIS) 3 rooms apartments,4+ rooms apartments,average price (NIS) 4+ rooms apartments,Lamas_name_translated
אילת,2600,2017,2.0,900000.0,1.0,1100000.0,Eilat
אילת,2600,2018,1.0,1045000.0,5.0,1175000.0,Eilat
אילת,2600,2019,7.0,1014285.714,,,Eilat
אילת,2600,2020,1.0,1045000.0,,,Eilat
אילת,2600,2023,2.0,1607500.0,8.0,1876405.5,Eilat
אילת,2600,2024,1.0,1560000.0,,,Eilat
אשדוד,70,2017,16.0,1197687.5,22.0,1387772.727,Ashdod
אשדוד,70,2018,33.0,1290878.788,21.0,1559476.19,Ashdod
אשדוד,70,2019,6.0,1290833.333,4.0,1539500.0,Ashdod
אשדוד,70,2020,5.0,1220000.0,,,Ashdod
אשדוד,70,2022,3.0,1800666.667,5.0,2007572.0,Ashdod
אשדוד,70,2023,10.0,1906000.0,18.0,2015444.444,Ashdod
אשדוד,70,2024,2.0,1675000.0,3.0,2111666.667,Ashdod
אשקלון,7100,2017,4.0,984875.0,7.0,1240285.714,Ashkelon
אשקלון,7100,2018,18.0,1001122.222,13.0,1172015.385,Ashkelon
אשקלון,7100,2019,2.0,1017500.0,2.0,1295000.0,Ashkelon
אשקלון,7100,2020,11.0,924636.3636,1.0,1015000.0,Ashkelon
אשקלון,7100,2021,,,1.0,1337500.0,Ashkelon
אשקלון,7100,2022,1.0,1220000.0,3.0,1813333.333,Ashkelon
אשקלון,7100,2023,1.0,1165000.0,15.0,1820200.0,Ashkelon
אשקלון,7100,2024,,,1.0,1880000.0,Ashkelon
באר שבע,9000,2017,2.0,865000.0,2.0,1025000.0,Beer Sheva
באר שבע,9000,2018,19.0,844789.4736,31.0,1127677.419,Beer Sheva
באר שבע,9000,2019,3.0,816666.6666,,,Beer Sheva
באר שבע,9000,2020,8.0,854250.0,3.0,1026666.667,Beer Sheva
באר שבע,9000,2021,1.0,960000.0,4.0,978750.0,Beer Sheva
באר שבע,9000,2022,7.0,856428.5714,15.0,1162466.667,Beer Sheva
באר שבע,9000,2023,7.0,1002142.857,13.0,1276846.154,Beer Sheva
באר שבע,9000,2024,1.0,860000.0,1.0,1200000.0,Beer Sheva
בית שמש,2610,2017,5.0,1227000.0,2.0,1270000.0,Beit Shemesh
בית שמש,2610,2018,3.0,1186666.667,22.0,1370909.091,Beit Shemesh
בית שמש,2610,2019,2.0,1280000.0,,,Beit Shemesh
בית שמש,2610,2020,3.0,1145000.0,1.0,1550000.0,Beit Shemesh
בית שמש,2610,2022,,,4.0,2237500.0,Beit Shemesh
בית שמש,2610,2023,5.0,1940000.0,14.0,2171214.286,Beit Shemesh
בית שמש,2610,2024,1.0,2000000.0,1.0,2140000.0,Beit Shemesh
ביתר עלית,3780,2018,1.0,1391000.0,,,Beitar Illit
ביתר עלית,3780,2019,1.0,1500000.0,2.0,1440000.0,Beitar Illit
ביתר עלית,3780,2022,,,1.0,2660000.0,Beitar Illit
ביתר עלית,3780,2023,2.0,2080000.0,4.0,2425000.0,Beitar Illit
ביתר עלית,3780,2024,2.0,2000000.0,1.0,2310000.0,Beitar Illit
בני ברק,6100,2017,4.0,1345000.0,7.0,1694000.0,Bnei Brak
בני ברק,6100,2018,14.0,1455357.143,14.0,1710857.143,Bnei Brak
בני ברק,6100,2019,12.0,1476166.667,8.0,1785000.0,Bnei Brak
בני ברק,6100,2020,,,1.0,1810000.0,Bnei Brak
בני ברק,6100,2021,,,2.0,1850000.0,Bnei Brak
בני ברק,6100,2023,3.0,2046666.667,12.0,2444000.0,Bnei Brak
בני ברק,6100,2024,2.0,1919500.0,,,Bnei Brak
בת ים,6200,2017,14.0,1390714.286,7.0,1712142.857,Bat Yam
בת ים,6200,2018,32.0,1438156.25,2.0,1680000.0,Bat Yam
בת ים,6200,2019,5.0,1470200.0,4.0,1667000.0,Bat Yam
בת ים,6200,2020,5.0,1362000.0,1.0,1955000.0,Bat Yam
בת ים,6200,2021,1.0,1390000.0,,,Bat Yam
בת ים,6200,2022,2.0,1832500.0,2.0,2095000.0,Bat Yam
בת ים,6200,2023,16.0,1900937.5,8.0,2165000.0,Bat Yam
בת ים,6200,2024,6.0,1797500.0,1.0,2990000.0,Bat Yam
גבעתים,6300,2018,1.0,1700000.0,,,Givatayim
הוד השרון,9700,2017,2.0,1460000.0,1.0,1700000.0,Hod Hasharon
הוד השרון,9700,2018,1.0,1680000.0,2.0,1652500.0,Hod Hasharon
הוד השרון,9700,2019,1.0,1700000.0,3.0,1843333.333,Hod Hasharon
הוד השרון,9700,2023,1.0,2270000.0,,,Hod Hasharon
הרצליה,6400,2018,4.0,1585000.0,2.0,1900000.0,Herzliya
הרצליה,6400,2019,3.0,1536666.667,,,Herzliya
הרצליה,6400,2020,,,2.0,1820000.0,Herzliya
חדרה,6500,2017,9.0,964444.4444,4.0,1162500.0,Hadera
חדרה,6500,2018,18.0,925111.1111,4.0,1146250.0,Hadera
חדרה,6500,2019,8.0,958625.0,1.0,1085000.0,Hadera
חדרה,6500,2020,4.0,838000.0,,,Hadera
חדרה,6500,2021,1.0,890000.0,,,Hadera
חדרה,6500,2022,1.0,1400000.0,4.0,1571000.0,Hadera
חדרה,6500,2023,7.0,1469285.714,15.0,1900866.667,Hadera
חדרה,6500,2024,1.0,1550000.0,,,Hadera
חולון,6600,2017,17.0,1376882.353,1.0,1860000.0,Holon
חולון,6600,2018,22.0,1410045.455,4.0,1637500.0,Holon
חולון,6600,2019,12.0,1424166.667,6.0,1727500.0,Holon
חולון,6600,2020,4.0,1417500.0,,,Holon
חולון,6600,2021,1.0,1400000.0,,,Holon
חולון,6600,2022,8.0,2050625.0,7.0,2256000.0,Holon
חולון,6600,2023,14.0,2111500.0,18.0,2431000.0,Holon
חולון,6600,2024,,,2.0,2470000.0,Holon
חיפה,4000,2017,8.0,925625.0,4.0,1411125.0,Haifa
חיפה,4000,2018,29.0,901413.7931,20.0,1240650.0,Haifa
חיפה,4000,2019,20.0,910600.0,7.0,1159518.571,Haifa
חיפה,4000,2020,12.0,890416.6666,4.0,1152500.0,Haifa
חיפה,4000,2021,,,2.0,1147500.0,Haifa
חיפה,4000,2022,12.0,1219583.333,17.0,1517647.059,Haifa
חיפה,4000,2023,4.0,1320000.0,22.0,1614454.545,Haifa
יבנה,2660,2017,1.0,1360000.0,1.0,1460000.0,Yavne
יבנה,2660,2018,5.0,1386000.0,4.0,1651500.0,Yavne
יבנה,2660,2019,,,2.0,1912500.0,Yavne
יבנה,2660,2023,4.0,1838750.0,3.0,2236666.667,Yavne
ירושלים,3000,2017,38.0,1311578.947,40.0,1613375.0,Jerusalem
ירושלים,3000,2018,52.0,1365038.462,44.0,1621159.091,Jerusalem
ירושלים,3000,2019,8.0,1535625.0,2.0,1862500.0,Jerusalem
ירושלים,3000,2020,7.0,1354857.143,3.0,1900333.333,Jerusalem
ירושלים,3000,2021,7.0,1613571.429,4.0,1806250.0,Jerusalem
ירושלים,3000,2022,6.0,2013333.333,11.0,2244545.455,Jerusalem
ירושלים,3000,2023,22.0,1956954.545,30.0,2378333.333,Jerusalem
ירושלים,3000,2024,3.0,1910000.0,7.0,2346428.571,Jerusalem
כפר סבא,6900,2017,1.0,1780000.0,2.0,1687500.0,Kfar Saba
כפר סבא,6900,2018,4.0,1370000.0,1.0,1430000.0,Kfar Saba
כפר סבא,6900,2019,1.0,1752495.0,2.0,1420000.0,Kfar Saba
כפר סבא,6900,2020,1.0,1590000.0,,,Kfar Saba
כפר סבא,6900,2022,1.0,1960000.0,,,Kfar Saba
כפר סבא,6900,2023,3.0,2449333.333,8.0,2473750.0,Kfar Saba
לוד,7000,2017,,,2.0,1060000.0,Lod
לוד,7000,2018,3.0,1026666.667,5.0,1172000.0,Lod
לוד,7000,2019,10.0,1058000.0,7.0,1245714.286,Lod
לוד,7000,2020,1.0,1100000.0,2.0,1320000.0,Lod
לוד,7000,2022,3.0,1161666.667,8.0,1299875.0,Lod
לוד,7000,2023,1.0,1110000.0,,,Lod
מודיעין עילית,3797,2022,,,1.0,1820000.0,Modi'in Illit
מודיעין עילית,3797,2023,1.0,1790000.0,4.0,2140000.0,Modi'in Illit
נהריה,9100,2017,4.0,820000.0,7.0,1073142.857,Nahariya
נהריה,9100,2018,15.0,755666.6666,7.0,1128428.571,Nahariya
נהריה,9100,2019,2.0,800000.0,,,Nahariya
נהריה,9100,2021,,,1.0,1015000.0,Nahariya
נהריה,9100,2022,,,3.0,1417666.667,Nahariya
נהריה,9100,2023,2.0,1210000.0,11.0,1421363.636,Nahariya
נס ציונה,7200,2017,,,1.0,1700000.0,Ness Ziona
נס ציונה,7200,2020,3.0,1755000.0,,,Ness Ziona
נצרת,7300,2018,,,1.0,865000.0,Nazareth
נצרת,7300,2019,1.0,500000.0,1.0,660000.0,Nazareth
נצרת,7300,2020,2.0,535000.0,,,Nazareth
נצרת,7300,2024,1.0,780000.0,,,Nazareth
נתניה,7400,2017,24.0,1317916.667,17.0,1539176.471,Netanya
נתניה,7400,2018,51.0,1367254.902,20.0,1560250.0,Netanya
נתניה,7400,2019,11.0,1276363.636,1.0,1950000.0,Netanya
נתניה,7400,2020,4.0,1330000.0,,,Netanya
נתניה,7400,2021,1.0,1320000.0,1.0,1530000.0,Netanya
נתניה,7400,2022,2.0,1877500.0,12.0,2183250.0,Netanya
נתניה,7400,2023,10.0,1814000.0,35.0,2352885.714,Netanya
נתניה,7400,2024,1.0,1515000.0,,,Netanya
עכו,7600,2017,2.0,745000.0,,,Acre
עכו,7600,2018,,,2.0,954000.0,Acre
עכו,7600,2019,,,6.0,962000.0,Acre
עכו,7600,2020,6.0,591000.0,10.0,833000.0,Acre
עכו,7600,2021,1.0,620000.0,2.0,1013500.0,Acre
עכו,7600,2022,5.0,963000.0,5.0,1204000.0,Acre
עכו,7600,2023,,,1.0,1300000.0,Acre
עפולה,7700,2017,3.0,671666.6666,,,Afula
עפולה,7700,2018,1.0,710000.0,3.0,771666.6666,Afula
עפולה,7700,2019,,,1.0,920000.0,Afula
עפולה,7700,2022,,,1.0,900000.0,Afula
עפולה,7700,2023,,,1.0,1540000.0,Afula
פתח תקוה,7900,2017,19.0,1375578.947,11.0,1632090.909,Petah Tikva
פתח תקוה,7900,2018,38.0,1383078.947,23.0,1644652.174,Petah Tikva
פתח תקוה,7900,2019,3.0,1393333.333,5.0,1701000.0,Petah Tikva
פתח תקוה,7900,2020,2.0,1490000.0,,,Petah Tikva
פתח תקוה,7900,2021,2.0,1435000.0,6.0,1715000.0,Petah Tikva
