"","settlement.ID","settlement.name","max_col_name","max_value","BZB","Voters","VoterPrecentage","Party.Precentage"
"1",7,"Dawn","Halicud",128,517,377,0.729206963249516,0.339522546419098
"2",10,"Distilled","Shas",104,332,245,0.737951807228916,0.424489795918367
"3",11,"Nir Khan","Kahul_Lavan",94,406,287,0.706896551724138,0.327526132404181
"4",13,"measles","Kahul_Lavan",216,502,373,0.743027888446215,0.579088471849866
"5",15,"pleasantness","Halicud",158,308,228,0.74025974025974,0.692982456140351
"6",16,"Beit Nir","Kahul_Lavan",153,437,347,0.794050343249428,0.440922190201729
"7",18,"Field of Moses","Kahul_Lavan",151,397,305,0.768261964735516,0.495081967213115
"8",21,"Beer Ora","Kahul_Lavan",179,574,418,0.72822299651568,0.42822966507177
"9",22,"Mikve Israel","Kahul_Lavan",45,150,95,0.633333333333333,0.473684210526316
"10",23,"Emtia","Yamina",57,195,143,0.733333333333333,0.398601398601399
"11",24,"Lachish","Kahul_Lavan",264,562,465,0.827402135231317,0.567741935483871
"12",26,"Rosh Pina","Kahul_Lavan",663,2404,1730,0.719633943427621,0.383236994219653
"13",27,"Micah fields","Halicud",76,268,187,0.697761194029851,0.406417112299465
"14",28,"A souvenir of her house","Kahul_Lavan",3457,10432,7973,0.764282975460123,0.433588360717421
"15",29,"the foundation of the higher","Kahul_Lavan",443,1230,874,0.710569105691057,0.506864988558352
"16",31,"Ofakim","Halicud",4886,21413,14236,0.664829776304114,0.343214386063501
"17",32,"power","Shas",191,434,344,0.792626728110599,0.555232558139535
"18",33,"Shlomo's daughter","Kahul_Lavan",161,435,338,0.777011494252874,0.476331360946746
"19",35,"Gadot","Kahul_Lavan",140,371,242,0.652291105121294,0.578512396694215
"20",36,"Field of David","Halicud",142,415,314,0.756626506024096,0.452229299363057
"21",37,"Strong","Halicud",145,354,281,0.793785310734463,0.516014234875445
"22",39,"vine","Halicud",109,266,213,0.800751879699248,0.511737089201878
"23",41,"I will","Halicud",954,2595,1983,0.764161849710983,0.481089258698941
"24",43,"Matula","Kahul_Lavan",433,1416,837,0.591101694915254,0.517323775388292
"25",44,"Glamor","Halicud",119,265,199,0.750943396226415,0.597989949748744
"26",46,"Yavnal","Shas",741,2496,1787,0.715945512820513,0.414661443760492
"27",47,"Kfar Tavor","Kahul_Lavan",1212,3343,2435,0.728387675740353,0.497741273100616
"28",48,"Menachemia","Halicud",269,932,593,0.636266094420601,0.45362563237774
"29",49,"Ilania","Kahul_Lavan",121,460,310,0.673913043478261,0.390322580645161
"30",52,"Luzit","Halicud",137,451,340,0.753880266075388,0.402941176470588
"31",53,"Atlit","Kahul_Lavan",1551,5675,4063,0.715947136563877,0.38173763229141
"32",55,"Venus","Halicud",111,407,279,0.685503685503685,0.397849462365591
"33",57,"Sea of ​​Galilee (group)","Kahul_Lavan",248,632,439,0.694620253164557,0.564920273348519
"34",58,"expecting","Kahul_Lavan",53,136,94,0.691176470588235,0.563829787234043
"35",59,"copper","Yamina",340,769,596,0.775032509752926,0.570469798657718
"36",62,"Degania A.","Kahul_Lavan",178,514,335,0.651750972762646,0.53134328358209
"37",63,"Kinneret (colony)","Kahul_Lavan",170,522,363,0.695402298850575,0.46831955922865
"38",64,"Yad Rambam","Halicud",328,848,638,0.752358490566038,0.5141065830721
"39",65,"tower","Halicud",465,1390,914,0.657553956834532,0.508752735229759
"40",66,"Mehravia (kibbutz)","Kahul_Lavan",277,891,639,0.717171717171717,0.433489827856025
"41",67,"candle light","Kahul_Lavan",274,614,473,0.770358306188925,0.579281183932347
"42",69,"Nir Oz","Kahul_Lavan",96,325,225,0.692307692307692,0.426666666666667
"43",70,"Ashdod","Halicud",36221,178302,116800,0.65506836715236,0.310111301369863
"44",71,"spadix","Halicud",136,408,313,0.767156862745098,0.434504792332268
"45",72,"Gan Shmuel","Kahul_Lavan",309,875,684,0.781714285714286,0.451754385964912
"46",74,"Ein Hod","Kahul_Lavan",166,496,358,0.721774193548387,0.463687150837989
"47",76,"Kfar Giladi","Kahul_Lavan",213,567,355,0.62610229276896,0.6
