lamas.code,lamas.name
1192,Appeal-Bangev
1054,Tel Sheva
1059,silver
3797,Modi'in Illit
1303,a hole
1286,Segev-Shalom
1060,to Kia
3780,Beitar Illit
1161,trough
3660,Emmanuel
922,ridges
6100,Bnei Brak
541,Jessar al-Zarqa
510,Manda village
511,Ilot
2610,Beit Shemesh
1309,Elad
2710,Umm al-Fahm
998,Bir al-Maksor
8000,Zefat
520,Mashad
532,Ein Mahal
1137,Kiryat Yarim
1327,Ma'ale Iron
46,Yavnal
522,floated
538,Shaev
3000,Jerusalem
509,Kana village
1326,flavor
482,Buaina-Nojidat
975,starling
483,answered
4203,Restaurant
4001,Buqaata
542,Reina
4501,Ajar
627,Jaljulia
478,Aksal
962,Tuba-Zangria
978,Ka'abia-Tabash-Khajajara
3611,Kiryat Arba
499,amazing
944,Basmat Tivon
8900,Tamra
1292,Jedidah-Maker
531,Araba
4502,Ein Kaniya
537,Pouridis
498,Turan
504,as a ball
481,Magar
4201,Majdal Shams
638,Kalanswa
99,Mitzpe Ramon
913,Shabli - Umm Al-Ganam
516,Majd al-Krum
473,Abu Sanan
2730,Taiba
8800,Shafram
1296,Kasra-Samiya
502,Yercha
472,Abu Gosh
529,Ablein
246,routes
2560,Arad
637,appealed
31,horizons
634,Kafr Qasim
7300,Nazareth
6000,Baqqa al-Gharbiyya
3574,Bethel
7500,Sakhenin
492,Tenant Hana
1034,Kiryat Malachi
490,Deir al-Assad
6700,Tiberias
7000,Lod
525,Sajor
633,Kfar Bara
3608,Maale Ephraim
489,apiary
831,Yeruham
517,from her seed
2034,Hazor HaGalilit
1290,Singer
505,Ka'uqb Abu al-Hijah
2630,Qiryat Gat
480,garden House
7600,Acre
1295,Yanoh-Jeth
2720,castle
496,Khorfish
8500,Ramla
874,Migdal Haemek
2200,Dimona
534,Asafia
9200,Beit Shean
494,Dali'at el Carmel
7700,Afula
654,Kfar Kara
485,Jules
3730,Ze'ev hill
70,Ashdod
1061,The view of the Galilee
4100,Katzrin
9600,Kiryat Yam
6200,Bat Yam
1031,Sderot
543,Rama
2800,Kiryat Shmona
507,Kfar Yasif
536,Paki'in (Bukiyeh)
7100,Ashkelon
628,Jet
530,Aylabon
1063,Tarshiha
1020,Or Akiva
3557,Ancients
9000,Beer Sheva
1247,earing
2100,Tirat Carmel
1066,sons of Aish
2400,Or Yehuda
469,Kiryat Ekron
7400,Netanya
65,tower
1139,Carmiel
6800,Kiryat Ata
812,my peace
3640,Horns of Samaria
2600,Eilat
6500,Hadera
3570,Ariel
9100,Nahariya
535,Misleading
508,Kfar Kama
3616,Ma'ale Adumim
9500,Kiryat Bialik
41,I will
4000,Haifa
6600,Holon
8200,Kiryat Motzkin
487,Jash (block of milk)
2660,Yavne
3650,Efrat
565,Area
466,Beit Dagan
7900,Petah Tikva
26,Rosh Pina
2500,Nesher
8400,streets
7800,Pardes Hana
2550,a fence
8300,Rishon Lezion
166,Gan Yavne
240,Yokneam Illith
2640,Rosh HaAyin
168,Kfar Yona
2530,Be'er Ya'akov
518,Mailia
3652,Beit Arye-Ofarim
43,Matula
29,the foundation of the higher
9400,Yehud
3560,Elkana
8600,Ramat Gan
681,Givat Shmuel
9300,Zichron Yaakov
1015,Mevaseret Zion
5000,Tel Aviv Jaffa
3750,Alfie Menashe
6900,Kfar Saba
8700,fresh
2300,Kiryat Tivon
6400,Herzliya
195,"Come on, Zoran"
28,A souvenir of her house
9800,Binyamina-Givat Ada
3760,Ornit
122,Ramat Yishai
7200,Ness Ziona
47,Kfar Tavor
1200,Modi'in Maccabim-Reut
154,Tel Mond
229,Ganei Tikva
171,an orchard
1263,Village Roses
6300,Givatayim
182,Even Yehuda
1268,string
9700,Hod Hasharon
2620,Kiryat Ono
2650,Ramat Hasharon
1304,onyx
3769,Mount Adar
1224,Kochav Yair
666,Omar
1271,blades
267,Kfar Shmaryahu
587,groundsel
528,Uzair
539,Romana
997,Romet Heev
993,hammam
1346,Tarbin a-Tsana (locality)
1360,Sava
1358,Um Batin
1343,paintbrush
1359,Al Said
1367,blue
1349,Darijat
360,Givat Nili
679,Aviel
773,Amikam
1366,Neve
399,Barry
1363,Sons of Nazareth
413,onions
1085,Shalom vineyard
695,Protector
713,are bad
1364,Shlomit
1311,Absalom
69,Nir Oz
676,Eye of the Three
403,Orim
840,sweeps
402,Nir Yitzhak
352,Limits
1239,Dune
1241,palm tree
1051,Ptolemy Eliyahu
602,Nirim
1136,snoring
829,Insurers
1046,Fan
1231,garden fruit
1238,storm
1227,stake
1223,Abraham's demons
318,Amiauz
1237,Ptolemy Yosef
1232,crop
1240,Eye of the Gospel
916,salvation
1058,Field Nitzan
2006,sincerity
739,Uzziah Field
2011,Yanon
763,planted
817,Ezrikem
793,Givati
756,Beit Ezra
700,squill
727,Ptolemy Yehiel
772,allegiance
1149,helped
406,Hazor-Ashdod
690,Kfar Ahim
320,Warburg village
1157,brotherhood
155,Tobiah's well
2012,lights
827,Neve Mefet
819,Avigdor
593,beds
553,Nir Binim
234,Bitzron
163,Tamarinds
475,reject
512,Kfar Metzr
523,Nay
526,ladder
1265,Samaria
397,premises
2060,cypress
2061,gallop
396,sprouts
2062,boxwood
1198,vineyards
2023,blade
394,trail
395,The Negev Guard
849,Debra
1344,Givat Bar
598,Beit Kama
144,Gan Shlomo
562,Beit Elazari
147,Brener Hill
615,Kedron
685,construction
196,gibton
1072,the south garden
857,Kfar Aviv
555,that pretended
765,Meshgav Dov
764,Kfar Mordechai
731,Straight
591,ten
4006,Rainbow
4005,Hasfin
4017,Aloni Bashan
4014,sentinel
4007,Jonathan
4304,Nov
4019,manufacturer
4701,fulfillment level
4024,slingshot
4011,Solid stones
4015,Bnei Yehuda
4013,Ortel
4004,Kfar Harob
4002,Eli-ed
4003,Al-Rum
4026,Ness
4012,Anyam
4101,Marom Golan
4551,Navot Golan
4503,Ein Zivan
4301,channel
4204,A warm introduction
4022,bridge
4021,Givat Yoav
4702,levels
4025,In front of a deer
4028,wing
4009,on
4010,redness
4008,Retired
3653,Ma'ale Amos
3754,I will tell
3794,Bat Ayin
3561,Oz tower
3488,Kfar Etzion
3766,Tzur vineyards
3726,dots
3563,stuck
3604,Alon Shvut
3602,Tzorim head
3781,potter
3618,Eleazar
3725,Neve Daniel
3603,Mount Gila
856,Shallows
711,Azaria
759,will peek
