CODE OF LOCALITY,NAME OF LOCALITY,INDEX POPULATION 2019, CLUSTER 2019, CLUSTER 2017
528,UZEIR,"3,276",2,1
539,RUMMANE,"1,212",2,2
997,RUMAT HEIB,"2,047",2,2
993,HAMAM,"1,503",3,3
1346,TARABIN AS-SANI,"1,139",1,1
1360,SA'WA,"1,867",1,1
1358,UMM BATIN,"4,277",1,1
1343,MAKCHUL,839,1,1
1359,AL SAYYID,"5,875",1,1
1367,KOCHLEA,429,2,2
1349,DERIG'AT,"1,244",2,2
360,GIV'AT NILI,730,7,7
679,AVI'EL,821,8,8
773,AMMIQAM,739,8,8
1366,NAVE,"1,265",2,2
399,BE'ERI,"1,041",3,3
1363,BNE NETSARIM,770,4,4
413,ZE'ELIM,471,5,4
1085,KEREM SHALOM,183,5,..
695,MAGEN,532,5,5
713,RE'IM,409,5,5
1364,SHLOMIT,365,5,5
1311,AVSHALOM,298,6,6
69,NIR OZ,387,6,5
676,EN HASHELOSHA,283,6,5
403,URIM,502,6,5
840,KISSUFIM,279,6,6
402,NIR YIZHAQ,630,6,6
352,GEVULOT,358,7,7
1239,HOLIT,169,7,7
1241,DEQEL,350,7,7
1051,TALME ELIYYAHU,302,7,7
602,NIRIM,360,7,7
1136,ZOHAR,444,7,7
829,MIVTAHIM,439,7,7
1046,OHAD,408,7,8
1231,PERI GAN,246,7,7
1238,SUFA,211,7,8
1227,YATED,508,8,7
1223,SEDE AVRAHAM,358,8,8
318,AMMI'OZ,209,8,8
1237,TALME YOSEF,329,8,8
1232,YEVUL,338,8,8
1240,EN HABESOR,"1,146",9,9
916,YESHA,413,9,9
1058,SEDE NIZZAN,335,9,9
2006,KANNOT,439,1,1
739,SEDE UZZIYYAHU,"1,571",5,5
2011,YINNON,"1,197",6,6
763,SHETULIM,"2,116",6,6
817,AZRIQAM,"1,495",6,6
793,GIV'ATI,"1,047",7,6
756,BET EZRA,"1,116",7,7
700,HAZAV,"1,486",7,7
727,TALME YEHI'EL,997,7,8
772,EMUNIM,993,7,8
1149,EZER,817,8,8
406,HAZOR-ASHDOD,640,8,8
690,KEFAR AHIM,877,8,8
320,KEFAR WARBURG,"1,143",8,8
1157,AHAWA,157,8,8
155,BE'ER TOVIYYA,"1,289",8,9
2012,OROT,496,8,8
827,NEWE MIVTAH,677,9,9
