"","city_lms_name","city_lms_code","num_of_rooms","floor","total_area","validity_date","company_name","status_name","status_change_date","property_type_name","city_lms_name_translated","company_name_translated","status_name_translated","property_type_name_translated"
"1","Ofakim",31,2,2,54,"23/05/2024","Amigur","free","30/01/2024","Apartment","Ofakim","Amigur","free","Apartment"
"2","Migdal Haemek",874,2,0,46.7,"23/05/2024","Amigur","free","21/09/2023","Apartment","Migdal Haemek","Amigur","free","Apartment"
"3","Sderot",1031,4,4,90,"23/05/2024","Amigur","free","17/08/2023","Apartment","Sderot","Amigur","free","Apartment"
"4","Migdal Haemek",874,3,3,70,"23/05/2024","Amigur","free","21/01/2024","Apartment","Migdal Haemek","Amigur","free","Apartment"
"5","Ofakim",31,3,4,54,"23/05/2024","Amigur","free","13/06/2023","Apartment","Ofakim","Amigur","free","Apartment"
"6","Ofakim",31,2,2,44.5,"23/05/2024","Amigur","free","01/02/2023","Apartment","Ofakim","Amigur","free","Apartment"
"7","Netivot",246,2,2,52,"23/05/2024","Amigur","free","24/12/2023","Apartment","Netivot","Amigur","free","Apartment"
"8","Ofakim",31,2,3,55,"23/05/2024","Amigur","free","24/01/2023","Apartment","Ofakim","Amigur","free","Apartment"
"9","Ofakim",31,2,1,42,"23/05/2024","Amigur","free","06/02/2024","Apartment","Ofakim","Amigur","free","Apartment"
"10","Dimona",2200,1.5,3,50,"23/05/2024","Amidar","free","13/06/2023","Apartment","Dimona","Amidar","free","Apartment"
"11","Yeruham",831,3,3,72,"23/05/2024","Amidar","free","12/01/2022","Apartment","Yeruham","Amidar","free","Apartment"
"12","Yeruham",831,3,1,60,"23/05/2024","Amidar","free","31/12/2023","Apartment","Yeruham","Amidar","free","Apartment"
"13","Nof Hagalil",1061,2,2,45,"23/05/2024","Amidar","free","25/07/2023","Apartment","Nof Hagalil","Amidar","free","Apartment"
"14","Dimona",2200,3.5,3,72.6,"23/05/2024","Amidar","free","01/02/2024","Apartment","Dimona","Amidar","free","Apartment"
"15","Kiryat Shmona",2800,1,2,49,"23/05/2024","Amidar","free","28/08/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"16","Shlomi",812,3,1,71,"23/05/2024","Amidar","free","22/01/2023","Apartment","Shlomi","Amidar","free","Apartment"
"17","Nof Hagalil",1061,2,2,46.9,"23/05/2024","Amidar","free","09/01/2024","Apartment","Nof Hagalil","Amidar","free","Apartment"
"18","Dimona",2200,3,3,54,"23/05/2024","Amidar","free","17/07/2023","Apartment","Dimona","Amidar","free","Apartment"
"19","Mitzpe Ramon",99,3,2,58.8,"23/05/2024","Amidar","free","01/12/2022","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"20","Dimona",2200,3,3,54,"23/05/2024","Amidar","free","16/06/2020","Apartment","Dimona","Amidar","free","Apartment"
"21","Afula",7700,2,7,54,"23/05/2024","Amidar","free","24/10/2023","Apartment","Afula","Amidar","free","Apartment"
"22","Afula",7700,2,7,54,"23/05/2024","Amidar","free","24/10/2023","Apartment","Afula","Amidar","free","Apartment"
"23","Kiryat Shmona",2800,2,3,57,"23/05/2024","Amidar","free","15/11/2022","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"24","Kiryat Shmona",2800,2,3,58.1,"23/05/2024","Amidar","free","17/08/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"25","Beer Sheva",9000,2,3,47,"23/05/2024","Amidar","free","20/11/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"26","Dimona",2200,3,4,67.9,"23/05/2024","Amidar","free","29/09/2020","Apartment","Dimona","Amidar","free","Apartment"
"27","Dimona",2200,2,3,51.9,"23/05/2024","Amidar","free","03/12/2023","Apartment","Dimona","Amidar","free","Apartment"
"28","Kiryat Gat",2630,2,3,52,"23/05/2024","Amidar","free","13/12/2023","Apartment","Kiryat Gat","Amidar","free","Apartment"
"29","Mitzpe Ramon",99,3,3,55,"23/05/2024","Amidar","free","09/01/2023","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"30","Nof Hagalil",1061,2,4,45,"23/05/2024","Amidar","free","01/07/2021","Apartment","Nof Hagalil","Amidar","free","Apartment"
"31","Arad",2560,1,3,30,"23/05/2024","Amidar","free","06/04/2021","Apartment","Arad","Amidar","free","Apartment"
"32","Dimona",2200,3,4,63.9,"23/05/2024","Amidar","free","17/12/2023","Apartment","Dimona","Amidar","free","Apartment"
"33","Yeruham",831,3,4,72,"23/05/2024","Amidar","free","29/10/2019","Apartment","Yeruham","Amidar","free","Apartment"
"34","Beer Sheva",9000,2.5,2,49,"23/05/2024","Amidar","free","08/05/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"35","Yeruham",831,2,2,48,"23/05/2024","Amidar","free","16/08/2021","Apartment","Yeruham","Amidar","free","Apartment"
"36","Ofakim",31,2.5,3,54.8,"23/05/2024","Amigur","free","07/11/2022","Apartment","Ofakim","Amigur","free","Apartment"
"37","Ofakim",31,2,4,50.2,"23/05/2024","Amigur","free","19/12/2023","Apartment","Ofakim","Amigur","free","Apartment"
"38","Ofakim",31,2,1,44.5,"23/05/2024","Amigur","free","01/01/2024","Apartment","Ofakim","Amigur","free","Apartment"
"39","Migdal Haemek",874,2,3,48,"23/05/2024","Amigur","free","20/08/2023","Apartment","Migdal Haemek","Amigur","free","Apartment"
"40","Dimona",2200,3,3,53.1,"23/05/2024","Amidar","free","09/11/2021","Apartment","Dimona","Amidar","free","Apartment"
"41","Beer Sheva",9000,2,3,47,"23/05/2024","Amidar","free","31/07/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"42","Pardes Hana",7800,1,1,40.2,"23/05/2024","Amidar","free","03/01/2024","Apartment","Pardes Hana","Amidar","free","Apartment"
"43","Beit Shean",9200,3,3,84,"23/05/2024","Amidar","free","31/07/2023","Apartment","Beit Shean","Amidar","free","Apartment"
"44","Dimona",2200,2,3,53,"23/05/2024","Amidar","free","31/12/2019","Apartment","Dimona","Amidar","free","Apartment"
"45","Ma'alot-Tarshiha",1063,3,1,79,"23/05/2024","Amidar","free","10/02/2024","Apartment","Ma'alot-Tarshiha","Amidar","free","Apartment"
"46","Mitzpe Ramon",99,3,2,72,"23/05/2024","Amidar","free","07/09/2023","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"47","Acre",7600,1,2,29,"23/05/2024","Amidar","free","02/01/2023","Apartment","Acre","Amidar","free","Apartment"
"48","Or Akiva",1020,1.5,2,33,"23/05/2024","Amidar","free","21/05/2023","Apartment","Or Akiva","Amidar","free","Apartment"
"49","Mitzpe Ramon",99,3,3,79,"23/05/2024","Amidar","free","15/11/2015","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"50","Zefat",8000,2,6,47,"23/05/2024","Amidar","free","10/09/2023","Apartment","Zefat","Amidar","free","Apartment"
"51","Kiryat Shmona",2800,2,3,60.6,"23/05/2024","Amidar","free","19/08/2021","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"52","Kiryat Shmona",2800,3,4,73,"23/05/2024","Amidar","free","03/12/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"53","Arad",2560,2,4,38,"23/05/2024","Amidar","free","03/01/2024","Apartment","Arad","Amidar","free","Apartment"
"54","Mitzpe Ramon",99,3,3,55,"23/05/2024","Amidar","free","09/01/2023","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"55","Nof Hagalil",1061,2,4,45,"23/05/2024","Amidar","free","08/08/2023","Apartment","Nof Hagalil","Amidar","free","Apartment"
"56","Kiryat Shmona",2800,2,2,61.7,"23/05/2024","Amidar","free","08/10/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"57","Kiryat Arba",3611,3,3,86,"23/05/2024","Amidar","free","19/03/2023","Apartment","Kiryat Arba","Amidar","free","Apartment"
"58","Beit Shean",9200,3,4,70,"23/05/2024","Amidar","free","02/02/2023","Apartment","Beit Shean","Amidar","free","Apartment"
"59","Kiryat Shmona",2800,3,6,73,"23/05/2024","Amidar","free","15/02/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"60","Kiryat Shmona",2800,2,5,58.5,"23/05/2024","Amidar","free","27/08/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"61","Beer Sheva",9000,2,2,45,"23/05/2024","Amidar","free","25/02/2022","Apartment","Beer Sheva","Amidar","free","Apartment"
"62","Dimona",2200,2,3,47,"23/05/2024","Amidar","free","09/03/2021","Apartment","Dimona","Amidar","free","Apartment"
"63","Dimona",2200,2,3,44,"23/05/2024","Amidar","free","07/07/2020","Apartment","Dimona","Amidar","free","Apartment"
"64","Kiryat Shmona",2800,2,3,57,"23/05/2024","Amidar","free","14/11/2022","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"65","Ma'alot-Tarshiha",1063,2,3,46,"23/05/2024","Amidar","free","23/07/2023","Apartment","Ma'alot-Tarshiha","Amidar","free","Apartment"
"66","Yeruham",831,2,1,48,"23/05/2024","Amidar","free","23/03/2023","Apartment","Yeruham","Amidar","free","Apartment"
"67","Mitzpe Ramon",99,3,2,79,"23/05/2024","Amidar","free","27/02/2023","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"68","Dimona",2200,2,2,50,"23/05/2024","Amidar","free","01/05/2022","Apartment","Dimona","Amidar","free","Apartment"
"69","Kiryat Shmona",2800,3,4,66,"23/05/2024","Amidar","free","29/03/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"70","Beer Sheva",9000,1,2,30,"23/05/2024","Amidar","free","12/12/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"71","Ofakim",31,2,2,49,"23/05/2024","Amigur","free","01/05/2022","Apartment","Ofakim","Amigur","free","Apartment"
"72","Sderot",1031,4,4,90,"23/05/2024","Amigur","free","07/02/2024","Apartment","Sderot","Amigur","free","Apartment"
"73","Ashkelon",7100,1,2,31.5,"23/05/2024","Amigur","free","11/01/2023","Apartment","Ashkelon","Amigur","free","Apartment"
"74","Ofakim",31,2,2,54,"23/05/2024","Amigur","free","11/04/2022","Apartment","Ofakim","Amigur","free","Apartment"
"75","Migdal Haemek",874,1,1,38,"23/05/2024","Amigur","free","01/02/2024","Apartment","Migdal Haemek","Amigur","free","Apartment"
"76","Kiryat Shmona",2800,1,3,51.5,"23/05/2024","Amidar","free","06/09/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"77","Arad",2560,2,4,47,"23/05/2024","Amidar","free","28/02/2022","Apartment","Arad","Amidar","free","Apartment"
"78","Ma'alot-Tarshiha",1063,3,4,65,"23/05/2024","Amidar","free","12/11/2023","Apartment","Ma'alot-Tarshiha","Amidar","free","Apartment"
"79","Dimona",2200,4,3,76.6,"23/05/2024","Amidar","free","29/07/2018","Apartment","Dimona","Amidar","free","Apartment"
"80","Dimona",2200,2,4,48,"23/05/2024","Amidar","free","29/06/2021","Apartment","Dimona","Amidar","free","Apartment"
"81","Dimona",2200,4,4,89,"23/05/2024","Amidar","free","05/01/2020","Apartment","Dimona","Amidar","free","Apartment"
"82","Dimona",2200,2,3,48,"23/05/2024","Amidar","free","29/12/2021","Apartment","Dimona","Amidar","free","Apartment"
"83","Beer Sheva",9000,2.5,2,48,"23/05/2024","Amidar","free","27/12/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"84","Beer Sheva",9000,2,2,48,"23/05/2024","Amidar","free","05/09/2022","Apartment","Beer Sheva","Amidar","free","Apartment"
"85","Kiryat Shmona",2800,2,2,67.5,"23/05/2024","Amidar","free","15/06/2023","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"86","Dimona",2200,2,2,48,"23/05/2024","Amidar","free","05/07/2022","Apartment","Dimona","Amidar","free","Apartment"
"87","Dimona",2200,3,3,53.1,"23/05/2024","Amidar","free","15/08/2023","Apartment","Dimona","Amidar","free","Apartment"
"88","Beit Shean",9200,3,4,65,"23/05/2024","Amidar","free","29/10/2023","Apartment","Beit Shean","Amidar","free","Apartment"
"89","Arad",2560,1,4,30,"23/05/2024","Amidar","free","19/09/2023","Apartment","Arad","Amidar","free","Apartment"
