_id,settlement name,settlement ID,BZB,Voters,Rejected,Accepted,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
1,nan,0,0,234599,1918,232681,41202,6268,7299,49,18,48,28840,41,19,0,48,20490,9302,59681,10618,119,45,50,517,21885,101,153,8472,6758,311,10347
2,Abu Jawayed (tribe,967,1610,313,7,306,39,0,242,0,0,0,0,0,0,0,0,1,0,3,8,0,0,0,8,1,0,1,0,1,0,2
3,Abu Gosh,472,4178,2539,33,2506,143,4,2114,0,3,0,10,1,0,0,2,21,5,58,41,0,0,1,41,14,0,4,2,5,2,35
4,Abu Sanan,473,8363,5798,52,5746,299,3,3802,0,0,0,10,1,0,0,6,158,799,255,66,3,1,2,47,41,1,5,11,21,2,213
5,Abu Abdoun (tribe),958,119,37,1,36,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Abu Qurinat (tribe),968,2685,759,7,752,84,3,564,1,1,0,2,3,2,0,1,5,1,8,6,0,0,1,23,25,1,1,3,4,5,8
7,Abu Karinat (Yishuv,1342,154,65,1,64,4,0,50,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,2
8,Abu Rubiyeh (tribe),966,3502,716,11,705,54,1,536,0,0,1,0,0,0,0,2,1,0,10,9,0,1,0,35,29,1,2,1,6,0,16
9,Abu Ruqayk (tribe),961,4205,1271,10,1261,31,1,1112,1,0,0,3,0,0,0,6,3,1,7,30,0,1,2,45,2,1,1,3,2,1,8
10,Abtin,652,1632,807,15,792,50,0,700,0,0,0,0,1,0,0,1,7,0,7,7,0,0,0,11,3,0,0,0,0,0,5
11,Battalion,1275,229,188,1,187,89,0,2,0,0,0,10,0,0,0,0,16,1,23,25,0,0,0,0,16,0,0,5,0,0,0
12,Aviel,679,505,414,1,413,153,1,0,0,0,0,10,0,0,0,0,53,3,88,41,0,0,0,0,58,0,0,5,1,0,0
13,springs,1115,336,230,2,228,6,4,0,0,0,0,13,0,0,0,0,18,2,140,0,0,0,0,0,1,0,0,3,1,0,40
14,Avigdor,819,569,475,0,475,254,0,0,0,0,0,19,0,0,0,0,28,3,45,34,0,0,0,0,80,0,0,5,0,0,7
15,Avihil,175,949,735,3,732,380,1,1,0,0,1,24,0,0,0,0,36,2,77,71,0,0,0,0,128,0,0,5,1,2,3
16,Avital,2052,379,290,2,288,16,0,0,0,0,0,23,0,0,0,0,29,1,176,1,0,0,0,0,5,0,0,2,19,0,16
17,Aviazer,1070,495,406,0,406,81,4,3,0,0,0,46,0,0,0,0,28,13,130,25,0,0,0,0,52,0,0,2,10,1,11
18,knights,1220,160,123,1,122,48,0,3,0,0,0,0,0,0,0,0,6,1,9,34,0,0,0,0,12,0,0,4,1,0,4
19,Even Yehuda,182,9206,7285,36,7249,2739,37,9,0,1,3,304,0,0,0,0,629,66,1376,482,3,1,1,2,1340,2,4,80,53,5,112
20,Even Menachem,1081,266,199,1,198,28,2,0,0,0,0,6,0,0,0,0,12,3,92,0,0,0,0,0,19,0,0,4,1,0,31
21,Sapphire stone,783,504,379,0,379,71,1,0,0,0,0,15,0,0,0,0,47,14,172,15,1,0,0,0,17,0,0,10,2,1,13
22,Ibn Shmuel,400,586,522,3,519,7,6,0,0,0,0,232,0,0,0,0,15,0,116,1,1,0,0,0,2,0,0,2,118,0,19
23,Solid stones,4011,366,285,0,285,2,1,0,0,0,0,153,0,0,0,0,10,0,54,2,1,0,1,0,4,0,0,8,49,0,0
24,Gems,3793,854,735,2,733,2,0,0,0,0,0,389,0,0,0,0,14,4,147,1,0,0,0,0,0,0,1,2,141,0,32
25,Absalom,1311,205,142,4,138,20,2,0,1,0,0,6,0,0,0,0,16,44,29,2,0,0,0,0,9,0,0,8,0,1,0
26,Adora,3759,220,176,0,176,24,0,0,0,0,0,57,0,0,0,0,19,3,39,1,0,0,0,0,10,0,0,4,18,0,1
27,mighty,113,209,163,3,160,2,4,0,0,0,0,22,0,0,0,0,7,1,56,0,0,0,0,0,4,0,0,1,4,0,59
28,Adamite,1068,292,160,0,160,42,0,12,0,0,0,2,0,0,0,0,13,8,11,45,0,0,0,1,10,1,0,13,0,2,0
29,cloak,1123,498,383,2,381,12,1,1,0,0,0,78,0,0,0,0,21,10,193,9,3,0,0,0,15,0,0,3,9,0,26
30,Thank you,446,714,590,2,588,284,1,0,0,0,0,18,0,0,0,0,28,6,67,64,0,0,0,0,106,0,1,8,1,0,4
31,redness,4010,102,80,0,80,29,0,0,0,0,0,8,0,0,0,0,8,1,8,5,0,0,0,0,16,0,0,5,0,0,0
