settlement name,settlement ID,Ballot num,BZB,Voters,Rejected,Accepted,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס
Abu Jawayed (tribe),967,1.0,546,64,2,62,2,0,31,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Abu Jawayed (tribe),967,2.0,739,113,2,111,2,0,69,5,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,3,0,0,1,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
Abu Jawayed (tribe),967,3.0,630,98,1,97,1,0,75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abu Gosh,472,1.0,518,197,6,191,4,0,36,50,0,0,0,0,0,1,0,0,0,1,3,0,0,19,44,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Abu Gosh,472,2.0,679,290,3,287,7,0,69,85,1,0,0,0,0,2,0,0,0,0,1,0,2,14,61,0,0,0,0,2,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Abu Gosh,472,3.0,567,232,8,224,5,0,26,51,0,0,0,0,0,3,0,0,0,0,2,0,0,49,36,1,0,0,0,1,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12
Abu Gosh,472,4.0,753,324,12,312,5,1,53,95,0,0,0,0,0,0,0,0,0,0,3,0,5,30,53,0,0,0,1,1,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Abu Gosh,472,5.0,541,195,7,188,4,1,38,29,0,1,0,0,0,1,0,0,0,1,2,1,0,27,30,0,0,0,0,1,1,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Abu Gosh,472,6.0,659,282,19,263,9,0,79,77,0,0,0,0,0,2,0,0,0,0,2,0,1,16,26,0,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Abu Gosh,472,7.0,547,222,10,212,1,0,32,62,0,0,0,0,0,1,0,0,0,0,1,0,2,34,29,0,0,0,0,1,0,0,0,40,0,1,0,0,1,0,0,0,0,0,0,1,0,3,3
