Committee symbol,ballot id,settlement name,settlement ID,Ballot num,concentrate,Judge,BZB,Voters,Rejected,Accepted,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס
18,9870,Abu Gwaiyed tribe,967,1.0,1,0,585,126,2,124,2,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,2
18,9871,Abu Gwaiyed tribe,967,2.0,1,0,764,249,2,247,6,0,235,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0
18,9872,Abu Gwaiyed tribe,967,3.0,1,0,669,220,2,218,5,0,207,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0
2,736,Abu Gosh,472,1.0,1,0,530,299,7,292,15,1,229,0,0,0,0,0,0,1,0,0,1,0,0,0,32,0,0,0,0,0,11,0,0,0,0,0,0,2
2,737,Abu Gosh,472,2.0,1,0,693,388,6,382,6,0,330,0,0,0,0,0,0,2,0,0,0,0,0,2,23,0,0,0,0,0,18,0,0,0,0,0,1,0
2,738,Abu Gosh,472,3.0,2,0,585,344,4,340,3,0,258,0,0,0,1,0,0,1,0,0,0,0,0,0,51,0,0,0,1,0,18,0,0,0,0,0,1,6
2,739,Abu Gosh,472,4.0,4,0,775,464,6,458,16,0,364,0,0,0,1,0,0,1,0,0,0,0,0,0,52,0,0,0,0,0,21,0,1,0,0,0,0,2
2,740,Abu Gosh,472,5.0,2,0,543,266,2,264,11,0,201,0,0,0,1,0,0,0,1,0,0,0,0,0,40,0,0,0,1,1,6,0,0,0,0,0,0,2
2,741,Abu Gosh,472,6.0,4,0,676,386,9,377,13,0,310,0,0,0,1,0,0,0,0,0,0,0,0,1,24,0,0,0,1,0,24,0,1,0,0,0,1,1
2,742,Abu Gosh,472,7.0,1,0,562,320,1,319,6,0,260,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,17,0,0,0,0,1,1,1
2,743,Abu Gosh,472,8.0,2,0,457,251,1,250,5,3,205,0,0,0,1,0,0,0,0,0,0,0,0,1,26,0,0,0,0,1,8,0,0,0,0,0,0,0
6,2334,Abu Sanan,473,1.0,1,0,738,546,2,544,13,2,472,0,1,0,2,0,0,6,1,0,0,0,0,4,16,1,0,0,0,0,17,0,2,1,0,0,0,6
6,2335,Abu Sanan,473,2.0,1,0,688,473,3,470,2,0,456,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,1
6,2336,Abu Sanan,473,3.0,5,0,738,462,1,461,2,0,307,0,0,0,0,0,0,1,0,0,0,0,0,26,21,0,0,0,0,0,91,0,0,0,0,0,0,13
6,2337,Abu Sanan,473,4.0,2,0,681,436,7,429,2,0,355,0,0,0,2,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,35,0,0,0,0,0,0,15
6,2338,Abu Sanan,473,5.0,2,0,763,504,1,503,16,0,413,0,0,0,0,0,2,0,0,0,0,0,0,10,8,1,0,0,0,0,35,0,0,1,0,0,1,16
6,2339,Abu Sanan,473,6.0,3,0,745,508,5,503,4,2,365,0,0,0,1,0,0,0,0,0,0,0,0,16,12,0,0,1,1,0,50,0,0,0,0,0,0,51
6,2340,Abu Sanan,473,7.0,4,1,736,488,5,483,4,1,329,0,0,0,2,0,0,0,0,0,0,0,0,28,12,0,0,0,0,0,61,0,0,0,0,0,0,46
6,2341,Abu Sanan,473,8.0,3,0,740,477,11,466,8,0,403,0,0,0,0,0,0,1,0,0,0,0,0,2,9,0,0,0,0,0,15,0,0,0,0,1,2,25
6,2342,Abu Sanan,473,9.0,5,0,703,448,2,446,9,0,358,0,0,0,3,0,0,0,0,0,0,0,0,10,18,0,0,0,0,1,38,0,0,0,0,0,1,8
6,2343,Abu Sanan,473,10.0,4,0,761,481,4,477,11,0,362,0,0,0,1,0,0,1,0,0,1,0,1,13,15,0,1,0,1,1,58,0,0,0,1,0,0,10
6,2344,Abu Sanan,473,11.0,5,0,730,408,6,402,6,1,195,0,0,0,2,0,0,0,0,0,0,0,1,35,24,0,0,0,0,0,113,0,0,0,0,0,0,25
6,2345,Abu Sanan,473,12.0,4,0,721,425,5,420,9,0,167,0,0,0,2,1,0,1,1,0,0,0,0,51,22,1,0,0,0,0,138,0,0,0,0,1,0,26
6,2346,Abu Sanan,473,13.0,4,0,678,434,1,433,6,0,276,0,0,0,0,0,0,1,0,0,0,0,0,23,24,0,1,0,0,1,96,0,0,0,0,0,0,5
18,9873,Abu Abdoun tribe,958,1.0,1,0,142,41,1,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9874,Abu Qurinat tribe,968,1.0,1,0,756,371,1,370,4,0,352,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,1,0,1,1,0
18,9875,Abu Qurinat tribe,968,2.0,1,0,762,325,1,324,0,0,305,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,15,0,0,0,0,0,0,0
18,9876,Abu Qurinat tribe,968,3.0,1,0,758,320,3,317,4,0,301,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,7,0,1,0,0,0,0,0
18,9877,Abu Qurinat tribe,968,4.0,1,0,761,320,3,317,1,0,305,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,3,0,0,0,0,1,0,0
18,9878,Abu Karinat Yishuv,1342,1.0,2,0,578,334,3,331,9,0,264,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,52,0,2,0,0,0,0,0
18,9879,Abu Rubiyeh tribe,966,1.1,1,0,677,265,6,259,1,0,243,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,2,1,0,0,1,1
18,9880,Abu Rubiyeh tribe,966,1.2,1,0,677,246,5,241,2,0,219,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,10,0,0,1,1,1,0,1
18,9881,Abu Rubiyeh tribe,966,1.3,1,0,677,271,1,270,2,0,264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
18,9882,Abu Rubiyeh tribe,966,1.4,1,0,677,274,3,271,2,0,261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,1
18,9883,Abu Rubiyeh tribe,966,1.5,1,0,677,218,2,216,0,0,205,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,5,0,0,0,0,1,0,0
18,9884,Abu Rubiyeh tribe,966,1.6,1,0,675,250,4,246,1,1,239,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0
18,9885,Abu Ruqayk tribe,961,1.0,1,0,636,193,2,191,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0
18,9886,Abu Ruqayk tribe,961,2.0,1,0,681,338,1,337,0,1,330,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
18,9887,Abu Ruqayk tribe,961,3.0,1,0,632,327,0,327,1,0,322,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
18,9888,Abu Ruqayk tribe,961,4.0,1,0,769,367,1,366,2,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,2,0
18,9889,Abu Ruqayk tribe,961,5.0,1,0,683,337,0,337,0,1,333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,9890,Abu Ruqayk tribe,961,6.0,1,0,705,340,0,340,0,0,335,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
18,9891,Abu Ruqayk tribe,961,7.0,1,0,764,269,1,268,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0
18,9892,Abu Talul,1375,1.0,1,0,469,272,1,271,0,0,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
18,9893,Abu Talul,1375,2.0,1,0,474,304,1,303,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
8,3387,Abtin,652,1.0,1,0,584,339,4,335,1,0,316,0,0,0,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,1,8,0,0,0,0,1,0,0
8,3388,Abtin,652,2.0,1,0,575,357,2,355,2,0,348,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
8,3389,Abtin,652,3.0,2,0,659,465,4,461,1,0,446,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,0,0,1
6,2562,Battalion,1275,1.0,1,0,308,233,0,233,35,0,7,1,0,0,9,0,0,0,0,0,0,0,0,4,25,10,0,0,0,0,142,0,0,0,0,0,0,0
9,4071,Aviel,679,1.0,1,0,519,413,0,413,49,4,6,1,0,0,9,0,0,0,0,0,0,0,0,7,107,1,0,0,1,0,225,0,0,0,0,0,0,3
3,1119,springs,1115,1.0,1,0,332,246,0,246,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,4,0,0,0,0,0,0,61
17,9113,Avigdor,819,1.0,1,0,617,488,4,484,62,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,55,0,0,0,0,0,326,0,0,0,0,0,0,6
10,4501,Avihil,175,1.0,1,0,414,297,1,296,34,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,52,0,0,0,1,0,197,0,0,0,0,0,0,0
10,4502,Avihil,175,2.0,2,0,569,437,0,437,48,2,4,0,0,0,10,0,0,0,0,0,0,0,0,9,63,0,0,0,0,0,294,0,0,0,0,0,0,7
5,1572,Avital,2052,1.0,1,0,417,330,0,330,4,10,0,0,0,0,15,0,0,0,0,0,0,0,1,4,240,0,0,0,4,0,29,0,0,0,0,0,0,23
2,825,Aviazer,1070,1.0,1,0,577,445,0,445,32,1,4,1,0,0,33,0,0,0,0,0,0,0,0,21,196,0,0,0,3,0,139,0,0,0,0,0,0,15
6,2738,knights,1220,1.0,1,0,210,160,1,159,58,0,5,0,0,0,2,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,82,0,0,0,0,0,0,2
10,4617,Even Yehuda,182,1.0,2,0,715,529,0,529,49,9,0,1,0,0,15,0,0,0,0,0,0,0,0,17,168,0,0,0,0,0,258,0,0,0,0,0,0,12
10,4618,Even Yehuda,182,2.0,8,0,575,432,1,431,36,1,0,0,0,0,10,0,0,0,0,0,0,0,1,7,164,0,0,0,3,0,179,0,0,1,0,0,0,29
10,4619,Even Yehuda,182,3.0,9,0,691,540,2,538,54,0,5,0,0,0,12,0,0,0,0,0,0,0,0,13,87,0,0,1,0,0,365,0,0,0,0,0,0,1
