CityLMSName,Floor,NoRooms,OneRooms,TwoRooms,ThreeRooms,FourRooms,FiveRooms,SixRooms,SevenRooms,EightRooms,NineRooms,TenRooms,MoreRooms,CityLMSName_Translated
קרית ארבע,2.0,0,5,2,39,6,0,0,0,0,0,0,0,Kiryat Arba
גדידה-מכר,3.0,0,0,0,13,0,0,0,0,0,0,0,0,Gadida-Makr
רמת גן,5.0,0,0,0,5,3,0,0,0,0,0,0,0,Ramat Gan
פתח תקוה,19.0,0,0,0,0,1,0,0,0,0,0,0,0,Petah Tikva
עין יהב,1.0,0,0,0,1,0,0,0,0,0,0,0,0,Ein Yahav
מעלות-תרשיחא,2.0,0,3,36,76,7,0,0,0,0,0,0,0,Tarshiha
רחובות,3.0,0,3,13,47,9,3,0,0,0,0,0,0,streets
אור עקיבא,5.0,0,0,0,0,1,1,0,0,0,0,0,0,Or Akiva
לוד,2.0,0,1,75,102,35,0,0,0,0,0,0,0,Lod
אזור,4.0,0,1,0,11,0,0,0,0,0,0,0,0,Area
עפרים,3.0,0,0,0,1,0,0,0,0,0,0,0,0,Efraim
רמלה,4.0,0,0,27,55,7,1,0,0,0,0,0,0,Ramla
גני תקוה,4.0,0,0,0,6,0,0,0,0,0,0,0,0,Ganei Tikva
הוד השרון,1.0,0,7,25,19,26,8,2,0,0,0,0,0,Hod Hasharon
מעלה אדומים,4.0,0,0,0,2,0,0,0,0,0,0,0,0,Ma'ale Adumim
פתח תקוה,13.0,0,0,0,1,0,0,0,0,0,0,0,0,Petah Tikva
רחובות,6.0,0,0,1,6,2,0,0,0,0,0,0,0,streets
גבעת שמואל,4.0,0,0,8,3,0,0,0,0,0,0,0,0,Givat Shmuel
אור עקיבא,2.0,0,9,28,33,1,0,0,0,0,0,0,0,Or Akiva
מצפה רמון,2.0,0,0,24,75,27,3,2,0,0,0,0,0,Mitzpe Ramon
קרית אונו,7.0,0,0,0,1,0,0,0,0,0,0,0,0,Kiryat Ono
רמת גן,8.0,0,0,0,4,0,0,0,0,0,0,0,0,Ramat Gan
עתלית,2.0,0,0,6,18,0,0,0,0,0,0,0,0,Atlit
בני ברק,2.0,0,2,27,45,24,0,0,0,0,0,0,0,Bnei Brak
רמת גן,2.0,0,12,36,19,4,0,0,0,0,0,0,0,Ramat Gan
רחובות,0.0,0,0,1,0,0,0,0,0,0,0,0,0,streets
הוד השרון,4.0,0,0,7,3,0,0,0,0,0,0,0,0,Hod Hasharon
רמלה,1.0,0,17,50,130,23,4,0,0,0,0,0,0,Ramla
מעלות-תרשיחא,5.0,0,0,3,12,0,0,0,0,0,0,0,0,Tarshiha
לוד,5.0,0,0,0,2,3,0,0,0,0,0,0,0,Lod
גני תקוה,1.0,0,7,2,5,1,1,0,0,0,0,0,0,Ganei Tikva
מעלה אדומים,1.0,0,0,0,2,3,0,0,0,0,0,0,0,Ma'ale Adumim
גבעת שמואל,1.0,0,7,3,5,1,0,0,0,0,0,0,0,Givat Shmuel
ביתר עלית,-3.0,0,0,0,0,1,0,0,0,0,0,0,0,Beitar Illit
שקד,1.0,0,0,0,1,0,0,0,0,0,0,0,0,Almond
בת ים,7.0,0,0,1,4,2,0,0,0,0,0,0,0,Bat Yam
סוסיה,1.0,0,0,0,2,0,0,0,0,0,0,0,0,a horse
בת ים,10.0,0,0,0,0,1,0,0,0,0,0,0,0,Bat Yam
אשדוד,8.0,0,0,0,7,3,0,0,0,0,0,0,0,Ashdod
אבני חפץ,2.0,0,0,0,3,0,0,0,0,0,0,0,0,Gems
חצור הגלילית,2.0,0,0,15,47,6,1,1,0,0,0,0,0,Hazor HaGalilit
בני ברק,5.0,0,0,6,9,0,1,0,0,0,0,0,0,Bnei Brak
כפר סבא,1.0,0,4,24,44,9,1,0,0,0,0,0,0,Kfar Saba
צפת,7.0,0,0,13,18,2,0,0,0,0,0,0,0,Zefat
חרמש,1.0,0,0,0,5,0,0,0,0,0,0,0,0,scythe
בית אל,1.0,0,0,0,8,5,0,0,0,0,0,0,0,Bethel
קרית אתא,2.0,0,16,74,62,8,1,1,0,0,0,0,0,Kiryat Ata
מגדל העמק,8.0,0,0,0,0,4,0,0,0,0,0,0,0,Migdal Haemek
צפת,1.0,0,2,37,86,9,1,1,0,0,0,0,0,Zefat
מגדל העמק,2.0,0,1,99,120,19,0,0,0,0,0,0,0,Migdal Haemek
בית דגן,2.0,0,1,2,6,0,0,0,0,0,0,0,0,Beit Dagan
חצור הגלילית,5.0,0,0,1,4,0,0,0,0,0,0,0,0,Hazor HaGalilit
נהריה,0.0,0,0,0,2,2,0,0,0,0,0,0,0,Nahariya
כפר סבא,7.0,0,0,0,1,0,0,0,0,0,0,0,0,Kfar Saba
רמלה,7.0,0,1,0,7,1,0,0,0,0,0,0,0,Ramla
רמת ישי,1.0,0,3,0,5,0,0,0,0,0,0,0,0,Ramat Yishai
מגדל העמק,5.0,0,0,0,1,5,0,0,0,0,0,0,0,Migdal Haemek
ראשון לציון,1.0,0,16,40,107,42,4,0,0,0,0,0,0,Rishon Lezion
כפר סבא,4.0,0,0,1,18,4,0,0,0,0,0,0,0,Kfar Saba
צפת,10.0,0,0,1,6,0,0,0,0,0,0,0,0,Zefat
קרית ים,0.0,0,4,4,1,1,1,1,0,0,0,0,0,Kiryat Yam
צפת,4.0,0,0,28,32,6,0,0,0,0,0,0,0,Zefat
עלי,1.0,0,0,0,32,0,0,0,0,0,0,0,0,pestle
אילת,10.0,0,0,0,0,1,0,0,0,0,0,0,0,Eilat
נוף הגליל,8.0,0,0,4,13,2,0,0,0,0,0,0,0,The view of the Galilee
נתניה,5.0,0,0,3,20,10,1,0,0,0,0,0,0,Netanya
תל מונד,3.0,0,0,0,2,1,0,0,0,0,0,0,0,Tel Mond
יהוד,9.0,0,0,0,0,1,0,0,0,0,0,0,0,Yehud
טירת כרמל,1.0,0,45,90,73,14,0,0,0,0,0,0,0,Tirat Carmel
יקנעם עלית,4.0,0,1,7,6,1,0,0,0,0,0,0,0,Yakneam Alit
עפולה,10.0,0,0,0,3,0,0,0,0,0,0,0,0,Afula
רכסים,2.0,0,0,3,1,3,0,0,0,0,0,0,0,ridges
רמת השרון,7.0,0,0,0,0,2,0,0,0,0,0,0,0,Ramat Hasharon
ראש פנה,2.0,0,0,0,7,0,0,0,0,0,0,0,0,Head turned
פרדס חנה-כרכו,2.0,0,7,20,11,1,1,0,0,0,0,0,0,Pardes Hana
צפת,9.0,0,0,1,15,3,0,0,0,0,0,0,0,Zefat
רמת השרון,13.0,0,0,0,0,2,0,0,0,0,0,0,0,Ramat Hasharon
אילת,7.0,0,0,0,3,2,0,0,0,0,0,0,0,Eilat
קרית ביאליק,2.0,0,38,48,25,3,1,0,0,0,0,0,0,Kiryat Bialik
ביתר עלית,0.0,0,0,0,2,3,1,0,0,0,0,0,0,Beitar Illit
עפולה,4.0,0,2,57,106,14,1,1,0,0,0,0,0,Afula
יקנעם עלית,1.0,0,5,17,9,5,1,0,0,0,0,0,0,Yakneam Alit
מעלה לבונה,1.0,0,0,0,3,0,0,0,0,0,0,0,0,Frankincense
תל אביב -יפו,11.0,0,0,0,1,1,0,0,0,0,0,0,0,Tel Aviv Jaffa
נתניה,2.0,0,13,38,112,32,8,0,0,0,0,0,0,Netanya
רמת השרון,10.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
עפולה,7.0,0,0,32,21,3,0,0,0,0,0,0,0,Afula
רמת השרון,4.0,0,0,6,4,1,0,0,0,0,0,0,0,Ramat Hasharon
אילת,4.0,0,0,8,27,7,0,0,0,0,0,0,0,Eilat
שדי אברהם,0.0,0,0,0,2,0,0,0,0,0,0,0,0,Abraham's demons
עכו,2.0,0,38,87,74,12,0,0,0,0,0,0,0,Acre
גדידה-מכר,1.0,0,0,10,14,0,0,0,0,0,0,0,0,Gadida-Makr
ארגמן,1.0,0,0,0,1,0,0,0,0,0,0,0,0,crimson
אזור,2.0,0,0,0,9,1,0,0,0,0,0,0,0,Area
קרית ארבע,4.0,0,1,0,21,8,0,0,0,0,0,0,0,Kiryat Arba
ירושלים,10.0,0,0,0,3,1,0,0,0,0,0,0,0,Jerusalem
אריאל,1.0,0,0,8,6,0,0,0,0,0,0,0,0,Ariel
עפרים,1.0,0,0,0,0,2,0,0,0,0,0,0,0,Efraim
פתח תקוה,11.0,0,0,0,0,1,0,0,0,0,0,0,0,Petah Tikva
אשדוד,16.0,0,0,0,0,1,0,0,0,0,0,0,0,Ashdod
פתח תקוה,8.0,0,0,0,3,2,0,0,0,0,0,0,0,Petah Tikva
אלקנה,0.0,0,0,0,0,0,1,0,0,0,0,0,0,Elkana
חריש,0.0,0,0,0,1,0,0,0,0,0,0,0,0,earing
חיפה,3.0,0,25,102,96,33,3,0,0,0,0,0,0,Haifa
