CityLmsName,CityLmsCode,NumOfRooms,Floor,TotalArea,ValidityDate,CompanyName,StatusName,StatusChangeDate,PropertyTypeName,CityLmsName_Translated,CompanyName_Translated,StatusName_Translated,PropertyTypeName_Translated
אופקים,31,2.0,2,54.0,23/05/2024,עמיגור,פנויה,30/01/2024,דירה ,horizons,Amigur,free,Apartment
מגדל העמק,874,2.0,0,46.7,23/05/2024,עמיגור,פנויה,21/09/2023,דירה ,Migdal Haemek,Amigur,free,Apartment
שדרות,1031,4.0,4,90.0,23/05/2024,עמיגור,פנויה,17/08/2023,דירה ,Sderot,Amigur,free,Apartment
מגדל העמק,874,3.0,3,70.0,23/05/2024,עמיגור,פנויה,21/01/2024,דירה ,Migdal Haemek,Amigur,free,Apartment
אופקים,31,3.0,4,54.0,23/05/2024,עמיגור,פנויה,13/06/2023,דירה ,horizons,Amigur,free,Apartment
אופקים,31,2.0,2,44.5,23/05/2024,עמיגור,פנויה,01/02/2023,דירה ,horizons,Amigur,free,Apartment
נתיבות,246,2.0,2,52.0,23/05/2024,עמיגור,פנויה,24/12/2023,דירה ,routes,Amigur,free,Apartment
אופקים,31,2.0,3,55.0,23/05/2024,עמיגור,פנויה,24/01/2023,דירה ,horizons,Amigur,free,Apartment
אופקים,31,2.0,1,42.0,23/05/2024,עמיגור,פנויה,06/02/2024,דירה ,horizons,Amigur,free,Apartment
דימונה,2200,1.5,3,50.0,23/05/2024,עמידר,פנויה,13/06/2023,דירה ,Dimona,Amidar,free,Apartment
ירוחם,831,3.0,3,72.0,23/05/2024,עמידר,פנויה,12/01/2022,דירה ,Yeruham,Amidar,free,Apartment
ירוחם,831,3.0,1,60.0,23/05/2024,עמידר,פנויה,31/12/2023,דירה ,Yeruham,Amidar,free,Apartment
נוף הגליל,1061,2.0,2,45.0,23/05/2024,עמידר,פנויה,25/07/2023,דירה ,The view of the Galilee,Amidar,free,Apartment
דימונה,2200,3.5,3,72.6,23/05/2024,עמידר,פנויה,01/02/2024,דירה ,Dimona,Amidar,free,Apartment
קרית שמונה,2800,1.0,2,49.0,23/05/2024,עמידר,פנויה,28/08/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
שלומי,812,3.0,1,71.0,23/05/2024,עמידר,פנויה,22/01/2023,דירה ,my peace,Amidar,free,Apartment
נוף הגליל,1061,2.0,2,46.9,23/05/2024,עמידר,פנויה,09/01/2024,דירה ,The view of the Galilee,Amidar,free,Apartment
דימונה,2200,3.0,3,54.0,23/05/2024,עמידר,פנויה,17/07/2023,דירה ,Dimona,Amidar,free,Apartment
מצפה רמון,99,3.0,2,58.8,23/05/2024,עמידר,פנויה,01/12/2022,דירה ,Mitzpe Ramon,Amidar,free,Apartment
דימונה,2200,3.0,3,54.0,23/05/2024,עמידר,פנויה,16/06/2020,דירה ,Dimona,Amidar,free,Apartment
עפולה,7700,2.0,7,54.0,23/05/2024,עמידר,פנויה,24/10/2023,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,2.0,7,54.0,23/05/2024,עמידר,פנויה,24/10/2023,דירה ,Afula,Amidar,free,Apartment
קרית שמונה,2800,2.0,3,57.0,23/05/2024,עמידר,פנויה,15/11/2022,דירה ,Kiryat Shmona,Amidar,free,Apartment
קרית שמונה,2800,2.0,3,58.1,23/05/2024,עמידר,פנויה,17/08/2023,דירה ,Kiryat Shmona,Amidar,free,Apartment
באר שבע,9000,2.0,3,47.0,23/05/2024,עמידר,פנויה,20/11/2023,דירה ,Beer Sheva,Amidar,free,Apartment
דימונה,2200,3.0,4,67.9,23/05/2024,עמידר,פנויה,29/09/2020,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,2.0,3,51.9,23/05/2024,עמידר,פנויה,03/12/2023,דירה ,Dimona,Amidar,free,Apartment
קרית גת,2630,2.0,3,52.0,23/05/2024,עמידר,פנויה,13/12/2023,דירה ,Kiryat Gat,Amidar,free,Apartment
מצפה רמון,99,3.0,3,55.0,23/05/2024,עמידר,פנויה,09/01/2023,דירה ,Mitzpe Ramon,Amidar,free,Apartment
נוף הגליל,1061,2.0,4,45.0,23/05/2024,עמידר,פנויה,01/07/2021,דירה ,The view of the Galilee,Amidar,free,Apartment
ערד,2560,1.0,3,30.0,23/05/2024,עמידר,פנויה,06/04/2021,דירה ,Arad,Amidar,free,Apartment
דימונה,2200,3.0,4,63.9,23/05/2024,עמידר,פנויה,17/12/2023,דירה ,Dimona,Amidar,free,Apartment
ירוחם,831,3.0,4,72.0,23/05/2024,עמידר,פנויה,29/10/2019,דירה ,Yeruham,Amidar,free,Apartment
באר שבע,9000,2.5,2,49.0,23/05/2024,עמידר,פנויה,08/05/2023,דירה ,Beer Sheva,Amidar,free,Apartment
ירוחם,831,2.0,2,48.0,23/05/2024,עמידר,פנויה,16/08/2021,דירה ,Yeruham,Amidar,free,Apartment
אופקים,31,2.5,3,54.8,23/05/2024,עמיגור,פנויה,07/11/2022,דירה ,horizons,Amigur,free,Apartment
אופקים,31,2.0,4,50.2,23/05/2024,עמיגור,פנויה,19/12/2023,דירה ,horizons,Amigur,free,Apartment
אופקים,31,2.0,1,44.5,23/05/2024,עמיגור,פנויה,01/01/2024,דירה ,horizons,Amigur,free,Apartment
מגדל העמק,874,2.0,3,48.0,23/05/2024,עמיגור,פנויה,20/08/2023,דירה ,Migdal Haemek,Amigur,free,Apartment
דימונה,2200,3.0,3,53.1,23/05/2024,עמידר,פנויה,09/11/2021,דירה ,Dimona,Amidar,free,Apartment
באר שבע,9000,2.0,3,47.0,23/05/2024,עמידר,פנויה,31/07/2023,דירה ,Beer Sheva,Amidar,free,Apartment
פרדס חנה-כרכו,7800,1.0,1,40.2,23/05/2024,עמידר,פנויה,03/01/2024,דירה ,Pardes Hana,Amidar,free,Apartment
בית שאן,9200,3.0,3,84.0,23/05/2024,עמידר,פנויה,31/07/2023,דירה ,Beit Shean,Amidar,free,Apartment
דימונה,2200,2.0,3,53.0,23/05/2024,עמידר,פנויה,31/12/2019,דירה ,Dimona,Amidar,free,Apartment
