Lamas_Code,CityLMSName,2019 cluster,2017 cluster
1192,AR'ARA-BANEGEV,1,1
1054,TEL SHEVA,1,1
1059,KUSEIFE,1,1
3797,MODI'IN ILLIT,1,1
1303,HURA,1,1
1286,SEGEV-SHALOM,1,1
1060,LAQYE,1,1
3780,BETAR ILLIT,1,1
1161,RAHAT,1,1
3660,IMMANU'EL,2,2
922,REKHASIM,2,2
6100,BENE BERAQ,2,2
541,JISR AZ-ZARQA,2,2
510,KAFAR MANDA,2,2
511,ILUT,2,2
2610,BET SHEMESH,2,2
1309,EL'AD,2,2
2710,UMM AL-FAHM,2,2
998,BIR EL-MAKSUR,2,2
8000,ZEFAT,2,2
520,MESHHED,2,2
532,EIN MAHEL,2,2
1137,QIRYAT YE'ARIM,2,2
1327,MA'ALE IRON,2,2
46,YAVNE'EL,3,2
522,NAHEF,2,2
538,SHA'AB,2,2
3000,JERUSALEM,3,2
509,KAFAR KANNA,2,2
1326,BASMA,2,2
482,BU'EINE-NUJEIDAT,2,2
975,ZARZIR,2,2
483,BI'NE,2,2
4203,MAS'ADE,2,2
4001,BUQ'ATA,2,3
542,REINE,3,3
4501,GHAJAR,3,3
627,JALJULYE,3,3
478,IKSAL,3,3
962,TUBA-ZANGARIYYE,3,3
978,KA'ABIYYE-TABBASH-HAJAJRE,3,3
3611,QIRYAT ARBA,3,3
499,YAFI,3,3
944,BASMAT TAB'UN,3,3
8900,TAMRA,3,3
1292,JUDEIDE-MAKER,3,3
531,ARRABE,3,3
4502,EIN QINIYYE,3,3
537,FUREIDIS,3,3
498,TUR'AN,3,3
504,KABUL,3,3
481,MUGHAR,3,3
4201,MAJDAL SHAMS,3,3
638,QALANSAWE,3,3
99,MIZPE RAMON,3,3
913,SHIBLI-UMM AL-GHANAM,3,3
516,MAJD AL-KURUM,3,3
473,ABU SINAN,3,3
2730,TAYIBE,3,3
8800,SHEFAR'AM,3,3
1296,KISRA-SUMEI,3,3
502,YIRKA,3,3
472,ABU GHOSH,3,3
529,I'BILLIN,3,3
246,NETIVOT,3,3
2560,ARAD,4,3
637,AR'ARA,3,3
31,OFAQIM,3,3
634,KAFAR QASEM,3,3
7300,NAZARETH,3,3
6000,BAQA AL-GHARBIYYE,3,4
3574,BET EL,3,4
7500,SAKHNIN,3,4
492,DEIR HANNA,3,4
1034,QIRYAT MAL'AKHI,4,4
490,DEIR AL-ASAD,3,4
6700,TIBERIAS,4,4
7000,LOD,4,4
525,SAJUR,4,4
633,KAFAR BARA,3,4
3608,MA'ALE EFRAYIM,4,4
489,DABURIYYA,3,4
831,YEROHAM,4,4
517,MAZRA'A,4,4
2034,HAZOR HAGELILIT,4,4
1290,ZEMER,4,4
505,KAOKAB ABU AL-HIJA,4,4
2630,QIRYAT GAT,4,4
480,BEIT JANN,4,4
7600,AKKO,4,4
1295,YANUH-JAT,4,5
2720,TIRE,4,5
496,HURFEISH,4,5
8500,RAMLA,4,5
874,MIGDAL HAEMEQ,4,5
2200,DIMONA,4,5
534,ISIFYA,4,5
9200,BET SHE'AN,4,5
494,DALIYAT AL-KARMEL,4,5
7700,AFULA,5,5
654,KAFAR QARA,4,5
485,JULIS,4,5
3730,GIV'AT ZE'EV,5,5
70,ASHDOD,4,5
1061,NOF HAGALIL,5,5
4100,QAZRIN,4,5
9600,QIRYAT YAM,5,5
6200,BAT YAM,5,5
1031,SEDEROT,4,5
543,RAME,4,5
2800,QIRYAT SHEMONA,5,5
507,KAFAR YASIF,4,5
536,PEQI'IN (BUQEI'A),4,5
7100,ASHQELON,5,5
628,JATT,4,5
530,EILABUN,5,5
1063,MA'ALOT-TARSHIHA,5,5
1020,OR AQIVA,5,5
3557,QEDUMIM,5,5
9000,BE'ER SHEVA,5,5
1247,HARISH,5,5
2100,TIRAT KARMEL,5,5
1066,BENE AYISH,5,5
2400,OR YEHUDA,5,5
469,QIRYAT EQRON,5,6
7400,NETANYA,6,6
65,MIGDAL,5,6
1139,KARMI'EL,6,6
6800,QIRYAT ATTA,6,6
812,SHELOMI,5,6
3640,QARNE SHOMERON,6,6
2600,ELAT,6,6
6500,HADERA,6,6
3570,ARI'EL,6,6
9100,NAHARIYYA,6,6
535,FASSUTA,6,6
