Committee symbol,ballot id,Lamas_code,settlement name,settlement name_Heb,settlement ID,Ballot num,concentrate,Judge,BZB,Voters,Rejected,Accepted,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס
18,9870,967,#N/A,אבו גווייעד שבט,967,1,1,0,585,126,2,124,2,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,2
18,9871,967,#N/A,אבו גווייעד שבט,967,2,1,0,764,249,2,247,6,0,235,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0
18,9872,967,#N/A,אבו גווייעד שבט,967,3,1,0,669,220,2,218,5,0,207,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0
2,736,472,ABU GHOSH,אבו גוש,472,1,1,0,530,299,7,292,15,1,229,0,0,0,0,0,0,1,0,0,1,0,0,0,32,0,0,0,0,0,11,0,0,0,0,0,0,2
2,737,472,ABU GHOSH,אבו גוש,472,2,1,0,693,388,6,382,6,0,330,0,0,0,0,0,0,2,0,0,0,0,0,2,23,0,0,0,0,0,18,0,0,0,0,0,1,0
2,738,472,ABU GHOSH,אבו גוש,472,3,2,0,585,344,4,340,3,0,258,0,0,0,1,0,0,1,0,0,0,0,0,0,51,0,0,0,1,0,18,0,0,0,0,0,1,6
2,739,472,ABU GHOSH,אבו גוש,472,4,4,0,775,464,6,458,16,0,364,0,0,0,1,0,0,1,0,0,0,0,0,0,52,0,0,0,0,0,21,0,1,0,0,0,0,2
2,740,472,ABU GHOSH,אבו גוש,472,5,2,0,543,266,2,264,11,0,201,0,0,0,1,0,0,0,1,0,0,0,0,0,40,0,0,0,1,1,6,0,0,0,0,0,0,2
2,741,472,ABU GHOSH,אבו גוש,472,6,4,0,676,386,9,377,13,0,310,0,0,0,1,0,0,0,0,0,0,0,0,1,24,0,0,0,1,0,24,0,1,0,0,0,1,1
2,742,472,ABU GHOSH,אבו גוש,472,7,1,0,562,320,1,319,6,0,260,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,17,0,0,0,0,1,1,1
2,743,472,ABU GHOSH,אבו גוש,472,8,2,0,457,251,1,250,5,3,205,0,0,0,1,0,0,0,0,0,0,0,0,1,26,0,0,0,0,1,8,0,0,0,0,0,0,0
6,2334,473,ABU SINAN,אבו סנאן,473,1,1,0,738,546,2,544,13,2,472,0,1,0,2,0,0,6,1,0,0,0,0,4,16,1,0,0,0,0,17,0,2,1,0,0,0,6
6,2335,473,ABU SINAN,אבו סנאן,473,2,1,0,688,473,3,470,2,0,456,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,1
6,2336,473,ABU SINAN,אבו סנאן,473,3,5,0,738,462,1,461,2,0,307,0,0,0,0,0,0,1,0,0,0,0,0,26,21,0,0,0,0,0,91,0,0,0,0,0,0,13
6,2337,473,ABU SINAN,אבו סנאן,473,4,2,0,681,436,7,429,2,0,355,0,0,0,2,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,35,0,0,0,0,0,0,15
6,2338,473,ABU SINAN,אבו סנאן,473,5,2,0,763,504,1,503,16,0,413,0,0,0,0,0,2,0,0,0,0,0,0,10,8,1,0,0,0,0,35,0,0,1,0,0,1,16
6,2339,473,ABU SINAN,אבו סנאן,473,6,3,0,745,508,5,503,4,2,365,0,0,0,1,0,0,0,0,0,0,0,0,16,12,0,0,1,1,0,50,0,0,0,0,0,0,51
6,2340,473,ABU SINAN,אבו סנאן,473,7,4,1,736,488,5,483,4,1,329,0,0,0,2,0,0,0,0,0,0,0,0,28,12,0,0,0,0,0,61,0,0,0,0,0,0,46
6,2341,473,ABU SINAN,אבו סנאן,473,8,3,0,740,477,11,466,8,0,403,0,0,0,0,0,0,1,0,0,0,0,0,2,9,0,0,0,0,0,15,0,0,0,0,1,2,25
6,2342,473,ABU SINAN,אבו סנאן,473,9,5,0,703,448,2,446,9,0,358,0,0,0,3,0,0,0,0,0,0,0,0,10,18,0,0,0,0,1,38,0,0,0,0,0,1,8
6,2343,473,ABU SINAN,אבו סנאן,473,10,4,0,761,481,4,477,11,0,362,0,0,0,1,0,0,1,0,0,1,0,1,13,15,0,1,0,1,1,58,0,0,0,1,0,0,10
6,2344,473,ABU SINAN,אבו סנאן,473,11,5,0,730,408,6,402,6,1,195,0,0,0,2,0,0,0,0,0,0,0,1,35,24,0,0,0,0,0,113,0,0,0,0,0,0,25
6,2345,473,ABU SINAN,אבו סנאן,473,12,4,0,721,425,5,420,9,0,167,0,0,0,2,1,0,1,1,0,0,0,0,51,22,1,0,0,0,0,138,0,0,0,0,1,0,26
6,2346,473,ABU SINAN,אבו סנאן,473,13,4,0,678,434,1,433,6,0,276,0,0,0,0,0,0,1,0,0,0,0,0,23,24,0,1,0,0,1,96,0,0,0,0,0,0,5
18,9873,958,#N/A,אבו עבדון שבט,958,1,1,0,142,41,1,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9874,968,#N/A,אבו קורינאת שבט,968,1,1,0,756,371,1,370,4,0,352,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,1,0,1,1,0
18,9875,968,#N/A,אבו קורינאת שבט,968,2,1,0,762,325,1,324,0,0,305,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,15,0,0,0,0,0,0,0
18,9876,968,#N/A,אבו קורינאת שבט,968,3,1,0,758,320,3,317,4,0,301,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,7,0,1,0,0,0,0,0
18,9877,968,#N/A,אבו קורינאת שבט,968,4,1,0,761,320,3,317,1,0,305,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,3,0,0,0,0,1,0,0
18,9878,1342,ABU QUREINAT,אבו קרינאת יישוב,1342,1,2,0,578,334,3,331,9,0,264,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,52,0,2,0,0,0,0,0
18,9879,966,#N/A,אבו רובייעה שבט,966,1.1,1,0,677,265,6,259,1,0,243,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,2,1,0,0,1,1
18,9880,966,#N/A,אבו רובייעה שבט,966,1.2,1,0,677,246,5,241,2,0,219,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,10,0,0,1,1,1,0,1
