lamas code,city name,familes with kids allowance,Families with more than 4 kids,people with general disability,elederly,kids with disabilities,מס' תושבים
0,0,1277642.00,226896,332507,1101981,131763,9685917.00
472,ABU GHOSH,1104.00,152,367,452,129,8378.00
473,ABU SINAN,1935.00,174,696,803,121,14408.00
1375,ABU TULUL,0.00,0,48,41,32,2713.00
652,IBTIN,438.00,71,161,143,60,2904.00
182,EVEN YEHUDA,1566.00,111,249,1908,128,13974.00
2710,UMM AL-FAHM,8778.00,1289,2359,2087,615,60090.00
1358,UMM BATIN,126.00,85,116,69,99,4222.00
31,OFAQIM,4638.00,1079,1750,3116,797,39002.00
2400,OR YEHUDA,5249.00,707,1741,5182,152,38859.00
1020,OR AQIVA,2522.00,356,901,3394,305,23491.00
3760,ORANIT,948.00,89,172,917,104,9330.00
565,AZOR,1617.00,195,404,1857,37,12486.00
1330,AHUZZAT BARAQ,175.00,12,53,187,23,2427.00
2600,ELAT,7410.00,654,2752,6310,835,57468.00
478,IKSAL,2321.00,283,649,591,157,15693.00
1359,AL SAYYID,41.00,26,63,54,36,3229.00
3604,ALLON SHEVUT,650.00,223,78,308,32,3261.00
41,ELYAKHIN,476.00,63,79,435,34,3499.00
1309,EL'AD,5937.00,3111,1133,992,996,49320.00
3618,EL'AZAR,335.00,140,48,125,51,2736.00
3750,ALFE MENASHE,1112.00,65,191,890,105,7905.00
3560,ELQANA,668.00,212,54,544,34,4560.00
529,I'BILLIN,1787.00,189,602,739,107,13162.00
3650,EFRAT,1462.00,427,268,830,156,12751.00
3570,ARI'EL,2474.00,281,598,2775,250,18953.00
70,ASHDOD,32094.00,6335,7858,33173,3781,226351.00
7100,ASHQELON,17175.00,2257,6755,23856,2803,159352.00
6000,BAQA AL-GHARBIYYE,5760.00,694,1260,1386,315,35011.00
2530,BE'ER YA'AQOV,2364.00,317,599,2374,536,32157.00
9000,BE'ER SHEVA,31328.00,4604,12424,32175,3768,214349.00
482,BU'EINE-NUJEIDAT,1608.00,205,513,335,97,10879.00
4001,BUQ'ATA,986.00,27,335,369,51,6964.00
998,BIR EL-MAKSUR,1602.00,258,505,467,152,11030.00
1348,BIR HADAGE,217.00,144,64,50,20,3588.00
3574,BET EL,1163.00,489,139,399,57,6504.00
3652,BET ARYE-OFARIM,540.00,47,123,425,71,5435.00
480,BEIT JANN,1743.00,79,558,843,90,12828.00
466,BET DAGAN,742.00,90,217,833,77,7199.00
1050,BET HASHMONAY,288.00,15,34,135,20,2085.00
326,BET YIZHAQ-SH. HEFER,308.00,15,40,363,14,2134.00
9200,BET SHE'AN,3139.00,472,1157,2370,361,20847.00
2610,BET SHEMESH,15448.00,6701,4188,5224,4949,169907.00
3780,BETAR ILLIT,8399.00,4515,1654,878,1398,69829.00
6100,BENE BERAQ,36451.00,16253,6469,13279,4699,220015.00
1066,BENE AYISH,698.00,88,258,1302,97,6550.00
9800,BINYAMINA-GIV'AT ADA,1641.00,127,347,1405,147,14879.00
1326,BASMA,1661.00,254,327,431,110,11606.00
944,BASMAT TAB'UN,1154.00,169,395,430,92,8225.00
483,BI'NE,586.00,114,308,363,67,6548.00
3710,BERAKHA,354.00,222,35,57,43,3118.00
2038,BAREQET,244.00,78,45,119,17,2056.00
1319,BAT HEFER,455.00,24,117,323,31,5154.00
6200,BAT YAM,19583.00,1693,5626,28143,2020,125615.00
3763,GEVA BINYAMIN,627.00,198,161,278,125,5928.00
1293,GIV'AT AVNI,197.00,17,73,277,22,2120.00
147,GIV'AT BRENNER,267.00,10,55,346,23,2200.00
3730,GIV'AT ZE'EV,2287.00,823,489,1491,427,22924.00
681,GIV'AT SHEMU'EL,3580.00,706,581,3391,319,28453.00
6300,GIV'ATAYIM,7248.00,342,1334,8829,103,57531.00
1292,JUDEIDE-MAKER,2933.00,243,967,1017,165,21039.00
2550,GEDERA,3221.00,434,646,2910,400,29675.00
485,JULIS,887.00,23,292,426,57,6832.00
627,JALJULYE,1541.00,229,439,496,155,10783.00
166,GAN YAVNE,2180.00,261,601,2002,300,24094.00
1274,GAN NER,288.00,12,73,254,27,2701.00
3823,GANNE MODI'IN,0.00,0,107,184,49,3028.00
229,GANNE TIQWA,2003.00,204,462,3530,276,24076.00
541,JISR AZ-ZARQA,2374.00,568,899,535,323,15768.00
487,JISH(GUSH HALAV),391.00,24,91,324,21,3088.00
628,JATT,367.00,78,221,748,104,9175.00
494,DALIYAT AL-KARMEL,3512.00,112,1021,1366,130,20362.00
489,DABURIYYA,1535.00,180,491,546,109,11147.00
490,DEIR AL-ASAD,928.00,200,338,565,106,9882.00
492,DEIR HANNA,1505.00,110,601,580,115,11261.00
2200,DIMONA,6421.00,978,2230,4568,657,40944.00
9700,HOD HASHARON,6582.00,441,1623,9154,888,63147.00
1186,HOSHA'AYA,235.00,52,25,147,18,2058.00
3769,HAR ADAR,415.00,30,52,505,26,4029.00
6400,HERZLIYYA,12166.00,781,2785,18930,1120,103431.00
9300,ZIKHRON YA'AQOV,2545.00,401,538,2985,247,23684.00
1290,ZEMER,972.00,145,225,436,89,7388.00
975,ZARZIR,1393.00,243,467,308,128,9225.00
6500,HADERA,11374.00,1327,3974,16382,1465,103446.00
6600,HOLON,25973.00,2442,7439,34659,597,188764.00
1303,HURA,2407.00,1288,672,309,287,22429.00
496,HURFEISH,1005.00,59,211,377,48,6737.00
4000,HAIFA,36180.00,3455,13055,54640,3788,281879.00
4005,HASPIN,240.00,82,37,88,21,1663.00
2034,HAZOR HAGELILIT,1750.00,365,630,1249,251,11251.00
1247,HARISH,471.00,104,959,1681,674,37323.00
3770,HASHMONA'IM,589.00,188,93,321,27,3183.00
6700,TIBERIAS,7005.00,1070,3869,6498,1277,52165.00
962,TUBA-ZANGARIYYE,1038.00,154,387,305,84,6861.00
498,TUR'AN,2228.00,291,568,695,110,15010.00
2730,TAYIBE,6487.00,799,1806,2458,526,46656.00
2720,TIRE,3713.00,303,1206,1740,288,26541.00
2100,TIRAT KARMEL,2852.00,267,1507,4285,558,30691.00
3788,TALMON,593.00,247,59,30,58,5858.00
8900,TAMRA,5129.00,470,1709,1594,347,36311.00
1295,YANUH-JAT,993.00,73,291,1013,74,6929.00
46,YAVNE'EL,612.00,195,281,349,69,4520.00
2660,YAVNE,5762.00,719,1627,6422,891,57016.00
577,YAD BINYAMIN,491.00,262,60,149,56,4265.00
9400,YEHUD-MONOSON,3802.00,322,866,5118,354,31321.00
29,YESUD HAMA'ALA,190.00,27,44,219,19,1653.00
499,YAFI,2813.00,319,770,968,178,19797.00
3647,YAQIR,315.00,127,22,109,37,2812.00
240,YOQNE'AM ILLIT,2737.00,197,783,3092,352,24561.00
831,YEROHAM,1723.00,452,527,1022,173,11933.00
3000,JERUSALEM,152824.00,45757,27660,77505,13239,1003052.00
502,YIRKA,2413.00,209,953,776,127,17023.00
504,KABUL,1902.00,178,663,465,121,13111.00
505,KAOKAB ABU AL-HIJA,518.00,45,125,225,41,3652.00
3564,KOKHAV HASHAHAR,364.00,159,38,77,27,2827.00
1224,KOKHAV YA'IR,886.00,58,214,1402,84,9772.00
3779,KOKHAV YA'AQOV,1147.00,585,222,219,249,9935.00
1059,KUSEIFE,2454.00,1108,590,306,196,21232.00
1296,KISRA-SUMEI,1501.00,143,381,366,114,9536.00
978,KA'ABIYYE-TABBASH-HAJAJRE,887.00,170,236,236,79,6185.00
3638,KEFAR ADUMMIM,539.00,159,71,164,41,4734.00
633,KAFAR BARA,579.00,96,134,125,52,4111.00
3796,KEFAR HAORANIM,207.00,10,28,74,11,2115.00
190,KEFAR VITKIN,243.00,11,17,216,15,1902.00
1263,KEFAR WERADIM,519.00,26,140,1080,55,5560.00
696,KEFAR HABAD,1061.00,524,113,389,125,6539.00
507,KAFAR YASIF,1357.00,77,455,910,77,10628.00
168,KEFAR YONA,2637.00,257,831,2806,373,28132.00
508,KAFAR KAMA,452.00,19,138,395,42,3557.00
509,KAFAR KANNA,3447.00,572,1068,1085,266,24432.00
510,KAFAR MANDA,3409.00,467,926,852,287,22017.00
512,KAFAR MISR,406.00,58,108,118,24,2813.00
6900,KEFAR SAVA,12260.00,886,3309,19203,1415,99234.00
634,KAFAR QASEM,3773.00,501,1016,958,376,26054.00
654,KAFAR QARA,2746.00,298,725,1099,209,20518.00
267,KEFAR SHEMARYAHU,195.00,11,21,400,14,1926.00
47,KEFAR TAVOR,316.00,32,118,624,49,4532.00
1139,KARMI'EL,6346.00,537,1926,9364,580,47793.00
1271,LEHAVIM,589.00,33,116,1247,59,7165.00
7000,LOD,11566.00,2307,3315,9217,1781,87753.00
1310,LAPPID,153.00,0,41,145,16,2097.00
1060,LAQYE,1630.00,843,515,319,241,17988.00
3709,MEVO HORON,343.00,177,38,85,22,2611.00
1015,MEVASSERET ZIYYON,3483.00,525,684,4183,290,25735.00
481,MUGHAR,3541.00,259,1572,1192,237,24530.00
516,MAJD AL-KURUM,3763.00,341,854,681,134,21740.00
65,MIGDAL,265.00,43,124,240,31,2110.00
874,MIGDAL HAEMEQ,4047.00,535,1633,4368,436,28536.00
4201,MAJDAL SHAMS,1553.00,47,538,687,77,11601.00
3797,MODI'IN ILLIT,9742.00,6360,1527,866,2446,84614.00
1200,MODI'IN-MAKKABBIM-RE'UT,10152.00,1119,1691,9388,1261,98136.00
635,MUQEIBLE,676.00,114,185,155,49,4471.00
28,MAZKERET BATYA,1312.00,138,358,1570,193,16146.00
517,MAZRA'A,586.00,28,147,269,32,4133.00
43,METULA,160.00,16,106,238,0,2058.00
649,MEISER,308.00,36,70,91,28,2067.00
1268,METAR,907.00,68,168,1042,96,11737.00
4203,MAS'ADE,619.00,55,172,240,33,4196.00
1082,MA'GALIM,245.00,35,54,93,18,1548.00
694,MA'AGAN MIKHA'EL,214.00,20,65,291,15,2011.00
518,MI'ELYA,364.00,15,82,406,14,3157.00
3616,MA'ALE ADUMMIM,5405.00,969,1068,4165,577,37127.00
3608,MA'ALE EFRAYIM,232.00,46,77,180,19,1661.00
1327,MA'ALE IRON,2355.00,295,558,1509,171,15996.00
1063,MA'ALOT-TARSHIHA,2988.00,372,850,3476,277,23485.00
3576,MIZPE YERIHO,401.00,193,61,121,40,2761.00
99,MIZPE RAMON,1089.00,234,286,446,75,5603.00
1098,MERKAZ SHAPPIRA,266.00,104,55,224,23,2900.00
520,MESHHED,1355.00,293,399,601,92,8822.00
1315,MATTAN,245.00,11,46,182,22,3194.00
524,NA'URA,387.00,64,116,101,27,3153.00
9100,NAHARIYYA,8171.00,660,2526,11547,949,67734.00
3725,NEWE DANIYYEL,331.00,130,59,116,41,2526.00
1333,NOF AYYALON,161.00,57,38,150,17,2144.00
1061,NOF HAGALIL,5525.00,336,2335,7727,850,46800.00
1284,NOFIT,277.00,0,46,331,17,2417.00
3726,NOQEDIM,274.00,127,44,89,42,3135.00
447,NORDIYYA,171.00,19,29,602,12,1836.00
522,NAHEF,2078.00,347,736,494,163,14155.00
351,NIZZAN,196.00,54,42,154,27,2571.00
7200,NES ZIYYONA,5433.00,406,1039,6389,570,45517.00
3787,NA'ALE,152.00,10,47,140,40,2750.00
7300,NAZARETH,11526.00,1083,3771,5355,751,79374.00
2500,NESHER,3046.00,153,960,4205,311,21839.00
246,NETIVOT,5274.00,1652,1917,2913,858,53215.00
7400,NETANYA,29774.00,4255,8349,37780,3060,227212.00
525,SAJUR,670.00,48,230,229,37,4592.00
587,SAVYON,339.00,27,53,693,0,4179.00
526,SULAM,474.00,66,169,158,40,3052.00
7500,SAKHNIN,5052.00,510,1580,1410,301,35275.00
1245,SALLAMA,523.00,87,173,146,51,3632.00
4501,GHAJAR,415.00,51,87,74,20,2849.00
528,UZEIR,525.00,87,169,107,45,3589.00
666,OMER,1049.00,145,217,1506,89,8448.00
530,EILABUN,729.00,51,296,524,68,5721.00
511,ILUT,1311.00,205,438,274,131,9071.00
532,EIN MAHEL,2061.00,241,648,554,128,14278.00
521,EIN NAQQUBA,450.00,91,87,93,50,3699.00
4502,EIN QINIYYE,375.00,16,118,122,23,2378.00
7600,AKKO,8397.00,775,2617,7276,690,54131.00
3765,ELI,709.00,406,60,120,44,4550.00
3727,ALE ZAHAV,168.00,90,28,51,73,5255.00
3660,IMMANU'EL,946.00,367,171,200,126,5500.00
534,ISIFYA,837.00,62,553,1020,109,10915.00
7700,AFULA,6279.00,779,3581,9237,1208,64812.00
3617,OFRA,525.00,187,61,196,31,3206.00
3778,EZ EFRAYIM,122.00,39,30,101,32,2128.00
531,ARRABE,4101.00,567,1255,1149,287,27712.00
2560,ARAD,4630.00,1287,1658,4009,684,31634.00
637,AR'ARA,2912.00,378,755,1097,219,21055.00
1192,AR'ARA-BANEGEV,2708.00,1282,717,252,252,21180.00
53,ATLIT,751.00,65,243,1026,175,10726.00
3768,PEDU'EL,256.00,99,24,40,17,2205.00
537,FUREIDIS,2066.00,241,493,634,168,13756.00
535,FASSUTA,406.00,24,111,337,10,3420.00
536,PEQI'IN (BUQEI'A),875.00,36,211,505,37,6074.00
7800,PARDES HANNA-KARKUR,4526.00,482,1501,5566,588,44798.00
171,PARDESIYYA,529.00,40,139,989,74,7744.00
7900,PETAH TIQWA,31780.00,4112,8354,39968,3867,256014.00
3791,ZUFIM,237.00,49,62,129,34,2624.00
1113,ZUR HADASSA,592.00,52,156,655,111,10088.00
1345,ZUR YIZHAQ,398.00,51,93,441,164,6877.00
276,ZUR MOSHE,384.00,12,46,220,24,2596.00
8000,ZEFAT,6168.00,1863,2441,3447,872,39701.00
3557,QEDUMIM,738.00,310,82,397,33,4861.00
195,QADIMA-ZORAN,1755.00,157,571,1985,234,22061.00
1167,QESARYYA,366.00,30,112,965,27,5966.00
638,QALANSAWE,3559.00,613,986,971,273,24357.00
1243,QAZIR,37.00,0,76,266,26,2703.00
1347,QASR A-SIR,71.00,44,33,34,28,2606.00
4100,QAZRIN,1009.00,138,420,1268,155,8372.00
2620,QIRYAT ONO,4695.00,315,912,6180,83,41258.00
3611,QIRYAT ARBA,1400.00,508,245,705,108,7921.00
6800,QIRYAT ATTA,7092.00,745,3030,10166,905,61712.00
9500,QIRYAT BIALIK,5115.00,269,2037,8574,625,45129.00
2630,QIRYAT GAT,8147.00,1483,2838,7901,1751,68876.00
2300,QIRYAT TIV'ON,1804.00,123,616,3287,122,17781.00
9600,QIRYAT YAM,5764.00,380,2273,9474,511,41750.00
1137,QIRYAT YE'ARIM,708.00,327,108,238,115,6828.00
8200,QIRYAT MOTZKIN,5248.00,305,2049,10316,649,50264.00
1034,QIRYAT MAL'AKHI,4109.00,892,1321,2730,600,27418.00
469,QIRYAT EQRON,1404.00,235,491,1548,175,10863.00
2800,QIRYAT SHEMONA,3519.00,414,1646,3374,445,24618.00
3640,QARNE SHOMERON,1192.00,368,262,906,150,10466.00
543,RAME,1147.00,67,395,813,50,8478.00
2640,ROSH HAAYIN,5108.00,762,1914,6477,1108,73714.00
26,ROSH PINNA,356.00,37,155,538,22,3264.00
8300,RISHON LEZIYYON,30700.00,2365,7931,45006,3467,253291.00
3795,REVAVA,272.00,133,26,22,45,3192.00
1161,RAHAT,11359.00,4184,2698,1206,1131,77548.00
997,RUMAT HEIB,308.00,66,84,97,23,2151.00
8400,REHOVOT,17644.00,2767,4704,21998,2575,149067.00
542,REINE,2424.00,283,827,847,179,17157.00
922,REKHASIM,2013.00,842,371,603,273,14360.00
8500,RAMLA,11809.00,1837,3550,9553,1676,81862.00
8600,RAMAT GAN,18815.00,1330,4884,25952,357,160903.00
2650,RAMAT HASHARON,5746.00,398,1024,8711,458,45645.00
122,RAMAT YISHAY,845.00,65,181,1238,76,7851.00
8700,RA'ANNANA,10362.00,1062,2064,13941,988,82585.00
913,SHIBLI-UMM AL-GHANAM,960.00,151,270,330,88,6783.00
1286,SEGEV-SHALOM,1497.00,677,381,209,153,13084.00
1031,SEDEROT,3405.00,622,1415,2993,747,35355.00
1304,SHOHAM,1528.00,97,425,2000,179,23444.00
658,SHEIKH DANNUN,406.00,39,107,142,37,2918.00
3641,SHILO,556.00,305,72,147,48,5584.00
812,SHELOMI,924.00,96,310,816,131,8108.00
1337,SHIMSHIT,218.00,0,44,84,16,2265.00
538,SHA'AB,1097.00,130,438,268,86,7773.00
3720,SHA'ARE TIQWA,603.00,123,130,538,64,4865.00
8800,SHEFAR'AM,5467.00,504,2213,2514,389,42963.00
763,SHETULIM,199.00,26,65,172,18,1961.00
5000,TEL AVIV - YAFO,53287.00,4184,15193,67052,4461,462383.00
154,TEL MOND,1390.00,105,313,1283,154,14557.00
1054,TEL SHEVA,3648.00,1553,833,316,387,23800.00
709,TIFRAH,406.00,190,74,118,60,2243.00
3563,TEQOA,409.00,196,66,213,58,4405.00
,,,,,,,
