lamas_code,CityLMSName,Floor,NoRooms,OneRooms,TwoRooms,ThreeRooms,FourRooms,FiveRooms,SixRooms,SevenRooms,EightRooms,NineRooms,TenRooms,MoreRooms
3611,QIRYAT ARBA,2,0,5,2,39,6,0,0,0,0,0,0,0
1292,JUDEIDE-MAKER,3,0,0,0,13,0,0,0,0,0,0,0,0
8600,RAMAT GAN,5,0,0,0,5,3,0,0,0,0,0,0,0
7900,PETAH TIQWA,19,0,0,0,0,1,0,0,0,0,0,0,0
806,EN YAHAV,1,0,0,0,1,0,0,0,0,0,0,0,0
1063,MA'ALOT-TARSHIHA,2,0,3,36,76,7,0,0,0,0,0,0,0
8400,REHOVOT,3,0,3,13,47,9,3,0,0,0,0,0,0
1020,OR AQIVA,5,0,0,0,0,1,1,0,0,0,0,0,0
7000,LOD,2,0,1,75,102,35,0,0,0,0,0,0,0
565,AZOR,4,0,1,0,11,0,0,0,0,0,0,0,0
3652,BET ARYE-OFARIM,3,0,0,0,1,0,0,0,0,0,0,0,0
8500,RAMLA,4,0,0,27,55,7,1,0,0,0,0,0,0
229,GANNE TIQWA,4,0,0,0,6,0,0,0,0,0,0,0,0
9700,HOD HASHARON,1,0,7,25,19,26,8,2,0,0,0,0,0
3616,MA'ALE ADUMMIM,4,0,0,0,2,0,0,0,0,0,0,0,0
7900,PETAH TIQWA,13,0,0,0,1,0,0,0,0,0,0,0,0
8400,REHOVOT,6,0,0,1,6,2,0,0,0,0,0,0,0
681,GIV'AT SHEMU'EL,4,0,0,8,3,0,0,0,0,0,0,0,0
1020,OR AQIVA,2,0,9,28,33,1,0,0,0,0,0,0,0
99,MIZPE RAMON,2,0,0,24,75,27,3,2,0,0,0,0,0
2620,QIRYAT ONO,7,0,0,0,1,0,0,0,0,0,0,0,0
8600,RAMAT GAN,8,0,0,0,4,0,0,0,0,0,0,0,0
53,ATLIT,2,0,0,6,18,0,0,0,0,0,0,0,0
6100,BENE BERAQ,2,0,2,27,45,24,0,0,0,0,0,0,0
8600,RAMAT GAN,2,0,12,36,19,4,0,0,0,0,0,0,0
8400,REHOVOT,0,0,0,1,0,0,0,0,0,0,0,0,0
9700,HOD HASHARON,4,0,0,7,3,0,0,0,0,0,0,0,0
8500,RAMLA,1,0,17,50,130,23,4,0,0,0,0,0,0
1063,MA'ALOT-TARSHIHA,5,0,0,3,12,0,0,0,0,0,0,0,0
7000,LOD,5,0,0,0,2,3,0,0,0,0,0,0,0
229,GANNE TIQWA,1,0,7,2,5,1,1,0,0,0,0,0,0
3616,MA'ALE ADUMMIM,1,0,0,0,2,3,0,0,0,0,0,0,0
681,GIV'AT SHEMU'EL,1,0,7,3,5,1,0,0,0,0,0,0,0
3780,BETAR ILLIT,-3,0,0,0,0,1,0,0,0,0,0,0,0
3649,SHAQED,1,0,0,0,1,0,0,0,0,0,0,0,0
6200,BAT YAM,7,0,0,1,4,2,0,0,0,0,0,0,0
3756,SUSEYA,1,0,0,0,2,0,0,0,0,0,0,0,0
6200,BAT YAM,10,0,0,0,0,1,0,0,0,0,0,0,0
70,ASHDOD,8,0,0,0,7,3,0,0,0,0,0,0,0
3793,AVNE HEFEZ,2,0,0,0,3,0,0,0,0,0,0,0,0
