Lamas_name,Lamas_code,year,3 rooms apartments,average price (NIS) 3 rooms apartments,4+ rooms apartments,average price (NIS) 4+ rooms apartments
ELAT,2600,2017,2,900000,1,1100000
ELAT,2600,2018,1,1045000,5,1175000
ELAT,2600,2019,7,1014285.714,,
ELAT,2600,2020,1,1045000,,
ELAT,2600,2023,2,1607500,8,1876405.5
ELAT,2600,2024,1,1560000,,
ASHDOD,70,2017,16,1197687.5,22,1387772.727
ASHDOD,70,2018,33,1290878.788,21,1559476.19
ASHDOD,70,2019,6,1290833.333,4,1539500
ASHDOD,70,2020,5,1220000,,
ASHDOD,70,2022,3,1800666.667,5,2007572
ASHDOD,70,2023,10,1906000,18,2015444.444
ASHDOD,70,2024,2,1675000,3,2111666.667
ASHQELON,7100,2017,4,984875,7,1240285.714
ASHQELON,7100,2018,18,1001122.222,13,1172015.385
ASHQELON,7100,2019,2,1017500,2,1295000
ASHQELON,7100,2020,11,924636.3636,1,1015000
ASHQELON,7100,2021,,,1,1337500
ASHQELON,7100,2022,1,1220000,3,1813333.333
ASHQELON,7100,2023,1,1165000,15,1820200
ASHQELON,7100,2024,,,1,1880000
BE'ER SHEVA,9000,2017,2,865000,2,1025000
BE'ER SHEVA,9000,2018,19,844789.4736,31,1127677.419
BE'ER SHEVA,9000,2019,3,816666.6666,,
BE'ER SHEVA,9000,2020,8,854250,3,1026666.667
BE'ER SHEVA,9000,2021,1,960000,4,978750
BE'ER SHEVA,9000,2022,7,856428.5714,15,1162466.667
BE'ER SHEVA,9000,2023,7,1002142.857,13,1276846.154
BE'ER SHEVA,9000,2024,1,860000,1,1200000
BET SHEMESH,2610,2017,5,1227000,2,1270000
BET SHEMESH,2610,2018,3,1186666.667,22,1370909.091
BET SHEMESH,2610,2019,2,1280000,,
BET SHEMESH,2610,2020,3,1145000,1,1550000
BET SHEMESH,2610,2022,,,4,2237500
BET SHEMESH,2610,2023,5,1940000,14,2171214.286
BET SHEMESH,2610,2024,1,2000000,1,2140000
BETAR ILLIT,3780,2018,1,1391000,,
BETAR ILLIT,3780,2019,1,1500000,2,1440000
BETAR ILLIT,3780,2022,,,1,2660000
BETAR ILLIT,3780,2023,2,2080000,4,2425000
BETAR ILLIT,3780,2024,2,2000000,1,2310000
BENE BERAQ,6100,2017,4,1345000,7,1694000
BENE BERAQ,6100,2018,14,1455357.143,14,1710857.143
BENE BERAQ,6100,2019,12,1476166.667,8,1785000
BENE BERAQ,6100,2020,,,1,1810000
BENE BERAQ,6100,2021,,,2,1850000
BENE BERAQ,6100,2023,3,2046666.667,12,2444000
BENE BERAQ,6100,2024,2,1919500,,
BAT YAM,6200,2017,14,1390714.286,7,1712142.857
BAT YAM,6200,2018,32,1438156.25,2,1680000
BAT YAM,6200,2019,5,1470200,4,1667000
BAT YAM,6200,2020,5,1362000,1,1955000
BAT YAM,6200,2021,1,1390000,,
BAT YAM,6200,2022,2,1832500,2,2095000
BAT YAM,6200,2023,16,1900937.5,8,2165000
BAT YAM,6200,2024,6,1797500,1,2990000
GIV'ATAYIM,6300,2018,1,1700000,,
HOD HASHARON,9700,2017,2,1460000,1,1700000
HOD HASHARON,9700,2018,1,1680000,2,1652500
HOD HASHARON,9700,2019,1,1700000,3,1843333.333
HOD HASHARON,9700,2023,1,2270000,,
HERZLIYYA,6400,2018,4,1585000,2,1900000
HERZLIYYA,6400,2019,3,1536666.667,,
HERZLIYYA,6400,2020,,,2,1820000
HADERA,6500,2017,9,964444.4444,4,1162500
HADERA,6500,2018,18,925111.1111,4,1146250
HADERA,6500,2019,8,958625,1,1085000
HADERA,6500,2020,4,838000,,
HADERA,6500,2021,1,890000,,
HADERA,6500,2022,1,1400000,4,1571000
HADERA,6500,2023,7,1469285.714,15,1900866.667
HADERA,6500,2024,1,1550000,,
HOLON,6600,2017,17,1376882.353,1,1860000
HOLON,6600,2018,22,1410045.455,4,1637500
HOLON,6600,2019,12,1424166.667,6,1727500
HOLON,6600,2020,4,1417500,,
HOLON,6600,2021,1,1400000,,
HOLON,6600,2022,8,2050625,7,2256000
HOLON,6600,2023,14,2111500,18,2431000
HOLON,6600,2024,,,2,2470000
HAIFA,4000,2017,8,925625,4,1411125
HAIFA,4000,2018,29,901413.7931,20,1240650
HAIFA,4000,2019,20,910600,7,1159518.571
HAIFA,4000,2020,12,890416.6666,4,1152500
HAIFA,4000,2021,,,2,1147500
HAIFA,4000,2022,12,1219583.333,17,1517647.059
HAIFA,4000,2023,4,1320000,22,1614454.545
YAVNE,2660,2017,1,1360000,1,1460000
YAVNE,2660,2018,5,1386000,4,1651500
YAVNE,2660,2019,,,2,1912500
YAVNE,2660,2023,4,1838750,3,2236666.667
JERUSALEM,3000,2017,38,1311578.947,40,1613375
JERUSALEM,3000,2018,52,1365038.462,44,1621159.091
JERUSALEM,3000,2019,8,1535625,2,1862500
JERUSALEM,3000,2020,7,1354857.143,3,1900333.333
JERUSALEM,3000,2021,7,1613571.429,4,1806250
JERUSALEM,3000,2022,6,2013333.333,11,2244545.455
JERUSALEM,3000,2023,22,1956954.545,30,2378333.333
JERUSALEM,3000,2024,3,1910000,7,2346428.571
KEFAR SAVA,6900,2017,1,1780000,2,1687500
KEFAR SAVA,6900,2018,4,1370000,1,1430000
KEFAR SAVA,6900,2019,1,1752495,2,1420000
KEFAR SAVA,6900,2020,1,1590000,,
KEFAR SAVA,6900,2022,1,1960000,,
KEFAR SAVA,6900,2023,3,2449333.333,8,2473750
LOD,7000,2017,,,2,1060000
LOD,7000,2018,3,1026666.667,5,1172000
LOD,7000,2019,10,1058000,7,1245714.286
LOD,7000,2020,1,1100000,2,1320000
LOD,7000,2022,3,1161666.667,8,1299875
LOD,7000,2023,1,1110000,,
MODI'IN ILLIT,3797,2022,,,1,1820000
MODI'IN ILLIT,3797,2023,1,1790000,4,2140000
NAHARIYYA,9100,2017,4,820000,7,1073142.857
