CityLmsCode,CityLmsName,NumOfRooms,Floor,TotalArea,ValidityDate,CompanyName,StatusName,StatusChangeDate,PropertyTypeName
31,OFAQIM,2,2,54,23/05/2024,Amigur,Free,30/01/2024,Apartment
874,MIGDAL HAEMEQ,2,0,46.7,23/05/2024,Amigur,Free,21/09/2023,Apartment
1031,SEDEROT,4,4,90,23/05/2024,Amigur,Free,17/08/2023,Apartment
874,MIGDAL HAEMEQ,3,3,70,23/05/2024,Amigur,Free,21/01/2024,Apartment
31,OFAQIM,3,4,54,23/05/2024,Amigur,Free,13/06/2023,Apartment
31,OFAQIM,2,2,44.5,23/05/2024,Amigur,Free,01/02/2023,Apartment
246,NETIVOT,2,2,52,23/05/2024,Amigur,Free,24/12/2023,Apartment
31,OFAQIM,2,3,55,23/05/2024,Amigur,Free,24/01/2023,Apartment
31,OFAQIM,2,1,42,23/05/2024,Amigur,Free,06/02/2024,Apartment
2200,DIMONA,1.5,3,50,23/05/2024,Amidar,Free,13/06/2023,Apartment
831,YEROHAM,3,3,72,23/05/2024,Amidar,Free,12/01/2022,Apartment
831,YEROHAM,3,1,60,23/05/2024,Amidar,Free,31/12/2023,Apartment
1061,NOF HAGALIL,2,2,45,23/05/2024,Amidar,Free,25/07/2023,Apartment
2200,DIMONA,3.5,3,72.6,23/05/2024,Amidar,Free,01/02/2024,Apartment
2800,QIRYAT SHEMONA,1,2,49,23/05/2024,Amidar,Free,28/08/2023,Apartment
812,SHELOMI,3,1,71,23/05/2024,Amidar,Free,22/01/2023,Apartment
1061,NOF HAGALIL,2,2,46.9,23/05/2024,Amidar,Free,09/01/2024,Apartment
2200,DIMONA,3,3,54,23/05/2024,Amidar,Free,17/07/2023,Apartment
99,MIZPE RAMON,3,2,58.8,23/05/2024,Amidar,Free,01/12/2022,Apartment
2200,DIMONA,3,3,54,23/05/2024,Amidar,Free,16/06/2020,Apartment
7700,AFULA,2,7,54,23/05/2024,Amidar,Free,24/10/2023,Apartment
7700,AFULA,2,7,54,23/05/2024,Amidar,Free,24/10/2023,Apartment
2800,QIRYAT SHEMONA,2,3,57,23/05/2024,Amidar,Free,15/11/2022,Apartment
2800,QIRYAT SHEMONA,2,3,58.1,23/05/2024,Amidar,Free,17/08/2023,Apartment
9000,BE'ER SHEVA,2,3,47,23/05/2024,Amidar,Free,20/11/2023,Apartment
2200,DIMONA,3,4,67.9,23/05/2024,Amidar,Free,29/09/2020,Apartment
2200,DIMONA,2,3,51.9,23/05/2024,Amidar,Free,03/12/2023,Apartment
2630,QIRYAT GAT,2,3,52,23/05/2024,Amidar,Free,13/12/2023,Apartment
99,MIZPE RAMON,3,3,55,23/05/2024,Amidar,Free,09/01/2023,Apartment
1061,NOF HAGALIL,2,4,45,23/05/2024,Amidar,Free,01/07/2021,Apartment
2560,ARAD,1,3,30,23/05/2024,Amidar,Free,06/04/2021,Apartment
2200,DIMONA,3,4,63.9,23/05/2024,Amidar,Free,17/12/2023,Apartment
831,YEROHAM,3,4,72,23/05/2024,Amidar,Free,29/10/2019,Apartment
9000,BE'ER SHEVA,2.5,2,49,23/05/2024,Amidar,Free,08/05/2023,Apartment
831,YEROHAM,2,2,48,23/05/2024,Amidar,Free,16/08/2021,Apartment
31,OFAQIM,2.5,3,54.8,23/05/2024,Amigur,Free,07/11/2022,Apartment
31,OFAQIM,2,4,50.2,23/05/2024,Amigur,Free,19/12/2023,Apartment
31,OFAQIM,2,1,44.5,23/05/2024,Amigur,Free,01/01/2024,Apartment
874,MIGDAL HAEMEQ,2,3,48,23/05/2024,Amigur,Free,20/08/2023,Apartment
2200,DIMONA,3,3,53.1,23/05/2024,Amidar,Free,09/11/2021,Apartment
9000,BE'ER SHEVA,2,3,47,23/05/2024,Amidar,Free,31/07/2023,Apartment
7800,PARDES HANNA-KARKUR,1,1,40.2,23/05/2024,Amidar,Free,03/01/2024,Apartment
9200,BET SHE'AN,3,3,84,23/05/2024,Amidar,Free,31/07/2023,Apartment
2200,DIMONA,2,3,53,23/05/2024,Amidar,Free,31/12/2019,Apartment
1063,MA'ALOT-TARSHIHA,3,1,79,23/05/2024,Amidar,Free,10/02/2024,Apartment
99,MIZPE RAMON,3,2,72,23/05/2024,Amidar,Free,07/09/2023,Apartment
7600,AKKO,1,2,29,23/05/2024,Amidar,Free,02/01/2023,Apartment
1020,OR AQIVA,1.5,2,33,23/05/2024,Amidar,Free,21/05/2023,Apartment
99,MIZPE RAMON,3,3,79,23/05/2024,Amidar,Free,15/11/2015,Apartment
8000,ZEFAT,2,6,47,23/05/2024,Amidar,Free,10/09/2023,Apartment
2800,QIRYAT SHEMONA,2,3,60.6,23/05/2024,Amidar,Free,19/08/2021,Apartment
2800,QIRYAT SHEMONA,3,4,73,23/05/2024,Amidar,Free,03/12/2023,Apartment
2560,ARAD,2,4,38,23/05/2024,Amidar,Free,03/01/2024,Apartment
99,MIZPE RAMON,3,3,55,23/05/2024,Amidar,Free,09/01/2023,Apartment
1061,NOF HAGALIL,2,4,45,23/05/2024,Amidar,Free,08/08/2023,Apartment
2800,QIRYAT SHEMONA,2,2,61.7,23/05/2024,Amidar,Free,08/10/2023,Apartment
