CityLMSName,Floor,NoRooms,OneRooms,TwoRooms,ThreeRooms,FourRooms,FiveRooms,SixRooms,SevenRooms,EightRooms,NineRooms,TenRooms,MoreRooms
קרית ארבע,2,0,5,2,39,6,0,0,0,0,0,0,0
גדידה-מכר,3,0,0,0,13,0,0,0,0,0,0,0,0
רמת גן,5,0,0,0,5,3,0,0,0,0,0,0,0
פתח תקוה,19,0,0,0,0,1,0,0,0,0,0,0,0
עין יהב,1,0,0,0,1,0,0,0,0,0,0,0,0
מעלות-תרשיחא,2,0,3,36,76,7,0,0,0,0,0,0,0
רחובות,3,0,3,13,47,9,3,0,0,0,0,0,0
אור עקיבא,5,0,0,0,0,1,1,0,0,0,0,0,0
לוד,2,0,1,75,102,35,0,0,0,0,0,0,0
אזור,4,0,1,0,11,0,0,0,0,0,0,0,0
עפרים,3,0,0,0,1,0,0,0,0,0,0,0,0
רמלה,4,0,0,27,55,7,1,0,0,0,0,0,0
גני תקוה,4,0,0,0,6,0,0,0,0,0,0,0,0
הוד השרון,1,0,7,25,19,26,8,2,0,0,0,0,0
מעלה אדומים,4,0,0,0,2,0,0,0,0,0,0,0,0
פתח תקוה,13,0,0,0,1,0,0,0,0,0,0,0,0
רחובות,6,0,0,1,6,2,0,0,0,0,0,0,0
גבעת שמואל,4,0,0,8,3,0,0,0,0,0,0,0,0
אור עקיבא,2,0,9,28,33,1,0,0,0,0,0,0,0
מצפה רמון,2,0,0,24,75,27,3,2,0,0,0,0,0
קרית אונו,7,0,0,0,1,0,0,0,0,0,0,0,0
רמת גן,8,0,0,0,4,0,0,0,0,0,0,0,0
עתלית,2,0,0,6,18,0,0,0,0,0,0,0,0
בני ברק,2,0,2,27,45,24,0,0,0,0,0,0,0
רמת גן,2,0,12,36,19,4,0,0,0,0,0,0,0
רחובות,0,0,0,1,0,0,0,0,0,0,0,0,0
הוד השרון,4,0,0,7,3,0,0,0,0,0,0,0,0
רמלה,1,0,17,50,130,23,4,0,0,0,0,0,0
מעלות-תרשיחא,5,0,0,3,12,0,0,0,0,0,0,0,0
לוד,5,0,0,0,2,3,0,0,0,0,0,0,0
גני תקוה,1,0,7,2,5,1,1,0,0,0,0,0,0
מעלה אדומים,1,0,0,0,2,3,0,0,0,0,0,0,0
גבעת שמואל,1,0,7,3,5,1,0,0,0,0,0,0,0
ביתר עלית,-3,0,0,0,0,1,0,0,0,0,0,0,0
שקד,1,0,0,0,1,0,0,0,0,0,0,0,0
בת ים,7,0,0,1,4,2,0,0,0,0,0,0,0
סוסיה,1,0,0,0,2,0,0,0,0,0,0,0,0
בת ים,10,0,0,0,0,1,0,0,0,0,0,0,0
אשדוד,8,0,0,0,7,3,0,0,0,0,0,0,0
אבני חפץ,2,0,0,0,3,0,0,0,0,0,0,0,0
חצור הגלילית,2,0,0,15,47,6,1,1,0,0,0,0,0
בני ברק,5,0,0,6,9,0,1,0,0,0,0,0,0
כפר סבא,1,0,4,24,44,9,1,0,0,0,0,0,0
צפת,7,0,0,13,18,2,0,0,0,0,0,0,0
חרמש,1,0,0,0,5,0,0,0,0,0,0,0,0
בית אל,1,0,0,0,8,5,0,0,0,0,0,0,0
קרית אתא,2,0,16,74,62,8,1,1,0,0,0,0,0
מגדל העמק,8,0,0,0,0,4,0,0,0,0,0,0,0
צפת,1,0,2,37,86,9,1,1,0,0,0,0,0
מגדל העמק,2,0,1,99,120,19,0,0,0,0,0,0,0
בית דגן,2,0,1,2,6,0,0,0,0,0,0,0,0
חצור הגלילית,5,0,0,1,4,0,0,0,0,0,0,0,0
נהריה,0,0,0,0,2,2,0,0,0,0,0,0,0
כפר סבא,7,0,0,0,1,0,0,0,0,0,0,0,0
רמלה,7,0,1,0,7,1,0,0,0,0,0,0,0
רמת ישי,1,0,3,0,5,0,0,0,0,0,0,0,0
מגדל העמק,5,0,0,0,1,5,0,0,0,0,0,0,0
ראשון לציון,1,0,16,40,107,42,4,0,0,0,0,0,0
כפר סבא,4,0,0,1,18,4,0,0,0,0,0,0,0
צפת,10,0,0,1,6,0,0,0,0,0,0,0,0
קרית ים,0,0,4,4,1,1,1,1,0,0,0,0,0
צפת,4,0,0,28,32,6,0,0,0,0,0,0,0
עלי,1,0,0,0,32,0,0,0,0,0,0,0,0
אילת,10,0,0,0,0,1,0,0,0,0,0,0,0
נוף הגליל,8,0,0,4,13,2,0,0,0,0,0,0,0
נתניה,5,0,0,3,20,10,1,0,0,0,0,0,0
תל מונד,3,0,0,0,2,1,0,0,0,0,0,0,0
יהוד,9,0,0,0,0,1,0,0,0,0,0,0,0
טירת כרמל,1,0,45,90,73,14,0,0,0,0,0,0,0
יקנעם עלית,4,0,1,7,6,1,0,0,0,0,0,0,0
עפולה,10,0,0,0,3,0,0,0,0,0,0,0,0
רכסים,2,0,0,3,1,3,0,0,0,0,0,0,0
רמת השרון,7,0,0,0,0,2,0,0,0,0,0,0,0
ראש פנה,2,0,0,0,7,0,0,0,0,0,0,0,0
פרדס חנה-כרכו,2,0,7,20,11,1,1,0,0,0,0,0,0
צפת,9,0,0,1,15,3,0,0,0,0,0,0,0
רמת השרון,13,0,0,0,0,2,0,0,0,0,0,0,0
אילת,7,0,0,0,3,2,0,0,0,0,0,0,0
קרית ביאליק,2,0,38,48,25,3,1,0,0,0,0,0,0
ביתר עלית,0,0,0,0,2,3,1,0,0,0,0,0,0
עפולה,4,0,2,57,106,14,1,1,0,0,0,0,0
יקנעם עלית,1,0,5,17,9,5,1,0,0,0,0,0,0
מעלה לבונה,1,0,0,0,3,0,0,0,0,0,0,0,0
תל אביב -יפו,11,0,0,0,1,1,0,0,0,0,0,0,0
נתניה,2,0,13,38,112,32,8,0,0,0,0,0,0
רמת השרון,10,0,0,0,0,1,0,0,0,0,0,0,0
עפולה,7,0,0,32,21,3,0,0,0,0,0,0,0
רמת השרון,4,0,0,6,4,1,0,0,0,0,0,0,0
אילת,4,0,0,8,27,7,0,0,0,0,0,0,0
שדי אברהם,0,0,0,0,2,0,0,0,0,0,0,0,0
עכו,2,0,38,87,74,12,0,0,0,0,0,0,0
גדידה-מכר,1,0,0,10,14,0,0,0,0,0,0,0,0
ארגמן,1,0,0,0,1,0,0,0,0,0,0,0,0
אזור,2,0,0,0,9,1,0,0,0,0,0,0,0
קרית ארבע,4,0,1,0,21,8,0,0,0,0,0,0,0
ירושלים,10,0,0,0,3,1,0,0,0,0,0,0,0
אריאל,1,0,0,8,6,0,0,0,0,0,0,0,0
עפרים,1,0,0,0,0,2,0,0,0,0,0,0,0
פתח תקוה,11,0,0,0,0,1,0,0,0,0,0,0,0
אשדוד,16,0,0,0,0,1,0,0,0,0,0,0,0
פתח תקוה,8,0,0,0,3,2,0,0,0,0,0,0,0
אלקנה,0,0,0,0,0,0,1,0,0,0,0,0,0
חריש,0,0,0,0,1,0,0,0,0,0,0,0,0
חיפה,3,0,25,102,96,33,3,0,0,0,0,0,0
