CityLmsName,CityLmsCode,NumOfRooms,Floor,TotalArea,ValidityDate,CompanyName,StatusName,StatusChangeDate,PropertyTypeName
אופקים,31,2,2,54,23/05/2024,עמיגור,פנויה,30/01/2024,דירה 
מגדל העמק,874,2,0,46.7,23/05/2024,עמיגור,פנויה,21/09/2023,דירה 
שדרות,1031,4,4,90,23/05/2024,עמיגור,פנויה,17/08/2023,דירה 
מגדל העמק,874,3,3,70,23/05/2024,עמיגור,פנויה,21/01/2024,דירה 
אופקים,31,3,4,54,23/05/2024,עמיגור,פנויה,13/06/2023,דירה 
אופקים,31,2,2,44.5,23/05/2024,עמיגור,פנויה,01/02/2023,דירה 
נתיבות,246,2,2,52,23/05/2024,עמיגור,פנויה,24/12/2023,דירה 
אופקים,31,2,3,55,23/05/2024,עמיגור,פנויה,24/01/2023,דירה 
אופקים,31,2,1,42,23/05/2024,עמיגור,פנויה,06/02/2024,דירה 
דימונה,2200,1.5,3,50,23/05/2024,עמידר,פנויה,13/06/2023,דירה 
ירוחם,831,3,3,72,23/05/2024,עמידר,פנויה,12/01/2022,דירה 
ירוחם,831,3,1,60,23/05/2024,עמידר,פנויה,31/12/2023,דירה 
נוף הגליל,1061,2,2,45,23/05/2024,עמידר,פנויה,25/07/2023,דירה 
דימונה,2200,3.5,3,72.6,23/05/2024,עמידר,פנויה,01/02/2024,דירה 
קרית שמונה,2800,1,2,49,23/05/2024,עמידר,פנויה,28/08/2023,דירה 
שלומי,812,3,1,71,23/05/2024,עמידר,פנויה,22/01/2023,דירה 
נוף הגליל,1061,2,2,46.9,23/05/2024,עמידר,פנויה,09/01/2024,דירה 
דימונה,2200,3,3,54,23/05/2024,עמידר,פנויה,17/07/2023,דירה 
מצפה רמון,99,3,2,58.8,23/05/2024,עמידר,פנויה,01/12/2022,דירה 
דימונה,2200,3,3,54,23/05/2024,עמידר,פנויה,16/06/2020,דירה 
עפולה,7700,2,7,54,23/05/2024,עמידר,פנויה,24/10/2023,דירה 
עפולה,7700,2,7,54,23/05/2024,עמידר,פנויה,24/10/2023,דירה 
קרית שמונה,2800,2,3,57,23/05/2024,עמידר,פנויה,15/11/2022,דירה 
קרית שמונה,2800,2,3,58.1,23/05/2024,עמידר,פנויה,17/08/2023,דירה 
באר שבע,9000,2,3,47,23/05/2024,עמידר,פנויה,20/11/2023,דירה 
דימונה,2200,3,4,67.9,23/05/2024,עמידר,פנויה,29/09/2020,דירה 
דימונה,2200,2,3,51.9,23/05/2024,עמידר,פנויה,03/12/2023,דירה 
קרית גת,2630,2,3,52,23/05/2024,עמידר,פנויה,13/12/2023,דירה 
מצפה רמון,99,3,3,55,23/05/2024,עמידר,פנויה,09/01/2023,דירה 
נוף הגליל,1061,2,4,45,23/05/2024,עמידר,פנויה,01/07/2021,דירה 
ערד,2560,1,3,30,23/05/2024,עמידר,פנויה,06/04/2021,דירה 
דימונה,2200,3,4,63.9,23/05/2024,עמידר,פנויה,17/12/2023,דירה 
ירוחם,831,3,4,72,23/05/2024,עמידר,פנויה,29/10/2019,דירה 
