"","city_lms_name","floor","no_rooms","one_rooms","two_rooms","three_rooms","four_rooms","five_rooms","six_rooms","seven_rooms","eight_rooms","nine_rooms","ten_rooms","more_rooms"
"1","Kiryat Arba",2,0,5,2,39,6,0,0,0,0,0,0,0
"2","Gadida-Makr",3,0,0,0,13,0,0,0,0,0,0,0,0
"3","Ramat Gan",5,0,0,0,5,3,0,0,0,0,0,0,0
"4","Petah Tikva",19,0,0,0,0,1,0,0,0,0,0,0,0
"5","Ein Yahav",1,0,0,0,1,0,0,0,0,0,0,0,0
"6","Ma'alot-Tarshiha",2,0,3,36,76,7,0,0,0,0,0,0,0
"7","Rehovot",3,0,3,13,47,9,3,0,0,0,0,0,0
"8","Or Akiva",5,0,0,0,0,1,1,0,0,0,0,0,0
"9","Lod",2,0,1,75,102,35,0,0,0,0,0,0,0
"10","Azur",4,0,1,0,11,0,0,0,0,0,0,0,0
"11","Efraim",3,0,0,0,1,0,0,0,0,0,0,0,0
"12","Ramla",4,0,0,27,55,7,1,0,0,0,0,0,0
"13","Ganei Tikva",4,0,0,0,6,0,0,0,0,0,0,0,0
"14","Hod Hasharon",1,0,7,25,19,26,8,2,0,0,0,0,0
"15","Ma'ale Adumim",4,0,0,0,2,0,0,0,0,0,0,0,0
"16","Petah Tikva",13,0,0,0,1,0,0,0,0,0,0,0,0
"17","Rehovot",6,0,0,1,6,2,0,0,0,0,0,0,0
"18","Givat Shmuel",4,0,0,8,3,0,0,0,0,0,0,0,0
"19","Or Akiva",2,0,9,28,33,1,0,0,0,0,0,0,0
"20","Mitzpe Ramon",2,0,0,24,75,27,3,2,0,0,0,0,0
"21","Kiryat Ono",7,0,0,0,1,0,0,0,0,0,0,0,0
"22","Ramat Gan",8,0,0,0,4,0,0,0,0,0,0,0,0
"23","Atlit",2,0,0,6,18,0,0,0,0,0,0,0,0
"24","Bnei Brak",2,0,2,27,45,24,0,0,0,0,0,0,0
"25","Ramat Gan",2,0,12,36,19,4,0,0,0,0,0,0,0
"26","Rehovot",0,0,0,1,0,0,0,0,0,0,0,0,0
"27","Hod Hasharon",4,0,0,7,3,0,0,0,0,0,0,0,0
"28","Ramla",1,0,17,50,130,23,4,0,0,0,0,0,0
"29","Ma'alot-Tarshiha",5,0,0,3,12,0,0,0,0,0,0,0,0
"30","Lod",5,0,0,0,2,3,0,0,0,0,0,0,0
"31","Ganei Tikva",1,0,7,2,5,1,1,0,0,0,0,0,0
"32","Ma'ale Adumim",1,0,0,0,2,3,0,0,0,0,0,0,0
"33","Givat Shmuel",1,0,7,3,5,1,0,0,0,0,0,0,0
"34","Beitar Illit",-3,0,0,0,0,1,0,0,0,0,0,0,0
"35","Shaked",1,0,0,0,1,0,0,0,0,0,0,0,0
"36","Bat Yam",7,0,0,1,4,2,0,0,0,0,0,0,0
"37","Susya",1,0,0,0,2,0,0,0,0,0,0,0,0
"38","Bat Yam",10,0,0,0,0,1,0,0,0,0,0,0,0
"39","Ashdod",8,0,0,0,7,3,0,0,0,0,0,0,0
"40","Avnei Hefetz",2,0,0,0,3,0,0,0,0,0,0,0,0
"41","Hazor HaGalilit",2,0,0,15,47,6,1,1,0,0,0,0,0
"42","Bnei Brak",5,0,0,6,9,0,1,0,0,0,0,0,0
"43","Kfar Saba",1,0,4,24,44,9,1,0,0,0,0,0,0
"44","Zefat",7,0,0,13,18,2,0,0,0,0,0,0,0
"45","Hermesh",1,0,0,0,5,0,0,0,0,0,0,0,0
"46","Beit El",1,0,0,0,8,5,0,0,0,0,0,0,0
"47","Kiryat Ata",2,0,16,74,62,8,1,1,0,0,0,0,0
"48","Migdal Haemek",8,0,0,0,0,4,0,0,0,0,0,0,0
"49","Zefat",1,0,2,37,86,9,1,1,0,0,0,0,0
"50","Migdal Haemek",2,0,1,99,120,19,0,0,0,0,0,0,0
"51","Beit Dagan",2,0,1,2,6,0,0,0,0,0,0,0,0
"52","Hazor HaGalilit",5,0,0,1,4,0,0,0,0,0,0,0,0
"53","Nahariya",0,0,0,0,2,2,0,0,0,0,0,0,0
"54","Kfar Saba",7,0,0,0,1,0,0,0,0,0,0,0,0
"55","Ramla",7,0,1,0,7,1,0,0,0,0,0,0,0
"56","Ramat Yishai",1,0,3,0,5,0,0,0,0,0,0,0,0
"57","Migdal Haemek",5,0,0,0,1,5,0,0,0,0,0,0,0
"58","Rishon Lezion",1,0,16,40,107,42,4,0,0,0,0,0,0
"59","Kfar Saba",4,0,0,1,18,4,0,0,0,0,0,0,0
"60","Zefat",10,0,0,1,6,0,0,0,0,0,0,0,0
"61","Kiryat Yam",0,0,4,4,1,1,1,1,0,0,0,0,0
