Lamas_name,Lamas_code,year,3 rooms apartments,average price (NIS) 3 rooms apartments,4+ rooms apartments,average price (NIS) 4+ rooms apartments
אילת,2600,2017,2,900000,1,1100000
אילת,2600,2018,1,1045000,5,1175000
אילת,2600,2019,7,1014285.714,,
אילת,2600,2020,1,1045000,,
אילת,2600,2023,2,1607500,8,1876405.5
אילת,2600,2024,1,1560000,,
אשדוד,70,2017,16,1197687.5,22,1387772.727
אשדוד,70,2018,33,1290878.788,21,1559476.19
אשדוד,70,2019,6,1290833.333,4,1539500
אשדוד,70,2020,5,1220000,,
אשדוד,70,2022,3,1800666.667,5,2007572
אשדוד,70,2023,10,1906000,18,2015444.444
אשדוד,70,2024,2,1675000,3,2111666.667
אשקלון,7100,2017,4,984875,7,1240285.714
אשקלון,7100,2018,18,1001122.222,13,1172015.385
אשקלון,7100,2019,2,1017500,2,1295000
אשקלון,7100,2020,11,924636.3636,1,1015000
אשקלון,7100,2021,,,1,1337500
אשקלון,7100,2022,1,1220000,3,1813333.333
אשקלון,7100,2023,1,1165000,15,1820200
אשקלון,7100,2024,,,1,1880000
באר שבע,9000,2017,2,865000,2,1025000
באר שבע,9000,2018,19,844789.4736,31,1127677.419
באר שבע,9000,2019,3,816666.6666,,
באר שבע,9000,2020,8,854250,3,1026666.667
באר שבע,9000,2021,1,960000,4,978750
באר שבע,9000,2022,7,856428.5714,15,1162466.667
באר שבע,9000,2023,7,1002142.857,13,1276846.154
באר שבע,9000,2024,1,860000,1,1200000
בית שמש,2610,2017,5,1227000,2,1270000
בית שמש,2610,2018,3,1186666.667,22,1370909.091
בית שמש,2610,2019,2,1280000,,
בית שמש,2610,2020,3,1145000,1,1550000
בית שמש,2610,2022,,,4,2237500
בית שמש,2610,2023,5,1940000,14,2171214.286
בית שמש,2610,2024,1,2000000,1,2140000
ביתר עלית,3780,2018,1,1391000,,
ביתר עלית,3780,2019,1,1500000,2,1440000
ביתר עלית,3780,2022,,,1,2660000
ביתר עלית,3780,2023,2,2080000,4,2425000
ביתר עלית,3780,2024,2,2000000,1,2310000
בני ברק,6100,2017,4,1345000,7,1694000
בני ברק,6100,2018,14,1455357.143,14,1710857.143
בני ברק,6100,2019,12,1476166.667,8,1785000
בני ברק,6100,2020,,,1,1810000
בני ברק,6100,2021,,,2,1850000
בני ברק,6100,2023,3,2046666.667,12,2444000
בני ברק,6100,2024,2,1919500,,
בת ים,6200,2017,14,1390714.286,7,1712142.857
בת ים,6200,2018,32,1438156.25,2,1680000
בת ים,6200,2019,5,1470200,4,1667000
בת ים,6200,2020,5,1362000,1,1955000
בת ים,6200,2021,1,1390000,,
בת ים,6200,2022,2,1832500,2,2095000
בת ים,6200,2023,16,1900937.5,8,2165000
בת ים,6200,2024,6,1797500,1,2990000
גבעתים,6300,2018,1,1700000,,
הוד השרון,9700,2017,2,1460000,1,1700000
הוד השרון,9700,2018,1,1680000,2,1652500
הוד השרון,9700,2019,1,1700000,3,1843333.333
הוד השרון,9700,2023,1,2270000,,
הרצליה,6400,2018,4,1585000,2,1900000
הרצליה,6400,2019,3,1536666.667,,
הרצליה,6400,2020,,,2,1820000
חדרה,6500,2017,9,964444.4444,4,1162500
חדרה,6500,2018,18,925111.1111,4,1146250
חדרה,6500,2019,8,958625,1,1085000
חדרה,6500,2020,4,838000,,
חדרה,6500,2021,1,890000,,
חדרה,6500,2022,1,1400000,4,1571000
חדרה,6500,2023,7,1469285.714,15,1900866.667
חדרה,6500,2024,1,1550000,,
חולון,6600,2017,17,1376882.353,1,1860000
חולון,6600,2018,22,1410045.455,4,1637500
חולון,6600,2019,12,1424166.667,6,1727500
חולון,6600,2020,4,1417500,,
חולון,6600,2021,1,1400000,,
חולון,6600,2022,8,2050625,7,2256000
חולון,6600,2023,14,2111500,18,2431000
חולון,6600,2024,,,2,2470000
חיפה,4000,2017,8,925625,4,1411125
חיפה,4000,2018,29,901413.7931,20,1240650
חיפה,4000,2019,20,910600,7,1159518.571
חיפה,4000,2020,12,890416.6666,4,1152500
חיפה,4000,2021,,,2,1147500
חיפה,4000,2022,12,1219583.333,17,1517647.059
חיפה,4000,2023,4,1320000,22,1614454.545
יבנה,2660,2017,1,1360000,1,1460000
יבנה,2660,2018,5,1386000,4,1651500
יבנה,2660,2019,,,2,1912500
יבנה,2660,2023,4,1838750,3,2236666.667
ירושלים,3000,2017,38,1311578.947,40,1613375
ירושלים,3000,2018,52,1365038.462,44,1621159.091
ירושלים,3000,2019,8,1535625,2,1862500
ירושלים,3000,2020,7,1354857.143,3,1900333.333
ירושלים,3000,2021,7,1613571.429,4,1806250
ירושלים,3000,2022,6,2013333.333,11,2244545.455
